Hour,STREET1,STREET2,ROAD_CLASS,District,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,PASSENGER,SPEEDING,AG_DRIV,ALCOHOL
23,BATHURST ST,MCALLISTER RD,Major Arterial,North York,Intersection, ,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
23,BATHURST ST,MCALLISTER RD,Major Arterial,North York,Intersection, ,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Driver,25 to 29,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,Yes,No,No,No
23,BATHURST ST,MCALLISTER RD,Major Arterial,North York,Intersection, ,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Pedestrian,20 to 24,West,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
23,EGLINTON AVE W,DUPLEX AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,0,SMV Other,Driver,20 to 24,South,"Automobile, Station Wagon",Turning Right,Lost control,"Ability Impaired, Alcohol",No,No,Yes,No,No,No,Yes,No,No,Yes
23,EGLINTON AVE W,DUPLEX AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,0,SMV Other,Passenger,20 to 24, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,Yes
23,EGLINTON AVE W,DUPLEX AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,0,SMV Other,Passenger,20 to 24, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,Yes
23,EGLINTON AVE W,DUPLEX AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Controller,Clear,"Daylight, artificial",Dry,0,SMV Other,Passenger,20 to 24, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,Yes
23,KIPLING AVE,EVANS AVE,Major Arterial,Etobicoke York,Intersection, ,Traffic Signal,Clear,Dark,Dry,0,Turning Movement,Driver,20 to 24,West,"Automobile, Station Wagon",Turning Left,Driving Properly,Normal,No,No,Yes,No,No,No,No,No,Yes,No
23,KIPLING AVE,EVANS AVE,Major Arterial,Etobicoke York,Intersection, ,Traffic Signal,Clear,Dark,Dry,0,Turning Movement,Driver,20 to 24,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Normal,No,No,Yes,No,No,No,No,No,Yes,No
23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,Expressway,North York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Other,Passenger,15 to 19, ,Other,Other,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,Yes,No
23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,Expressway,North York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Other,Driver,50 to 54,North,"Automobile, Station Wagon",Slowing or Stopping,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,Yes,No
23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,Expressway,North York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Other,Driver,40 to 44,North,"Automobile, Station Wagon",Changing Lanes,Following too Close,Normal,No,No,Yes,No,No,No,Yes,No,Yes,No
23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,Expressway,North York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Other,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,Yes,No
23,DON VALLEY PARKWAY  N,LAWRENCE AVE E,Expressway,North York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Other,Driver,40 to 44,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,Yes,No
23,LAKE SHORE BLVD W,REMEMBRANCE DR,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Cyclist Collisions,Cyclist,25 to 29,West,Bicycle,Going Ahead,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,No,No
23,LAKE SHORE BLVD W,REMEMBRANCE DR,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Cyclist Collisions,Driver,45 to 49,North,Passenger Van,Turning Right,Improper Turn,Normal,No,Yes,Yes,No,No,No,No,No,No,No
23,BLOOR ST W,STERLING RD,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,0,Pedestrian Collisions,Pedestrian,60 to 64,East, , ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,Yes,No
23,BLOOR ST W,STERLING RD,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,0,Pedestrian Collisions,Driver,70 to 74,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,Yes,No,Yes,No,No,No,No,No,Yes,No
23,BICKNELL Ave,NASHVILLE Ave,Collector,Etobicoke York,Intersection, ,No Control,Clear,Dark,Dry,0,Cyclist Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,No,No
23,BICKNELL Ave,NASHVILLE Ave,Collector,Etobicoke York,Intersection, ,No Control,Clear,Dark,Dry,0,Cyclist Collisions,Driver,40 to 44,North,"Automobile, Station Wagon",Parked,Driving Properly,Normal,No,Yes,Yes,No,No,No,No,No,No,No
23,BICKNELL Ave,NASHVILLE Ave,Collector,Etobicoke York,Intersection, ,No Control,Clear,Dark,Dry,0,Cyclist Collisions,Cyclist,40 to 44,North,Bicycle,Going Ahead,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,No,No
23,MORNINGSIDE AVE,SEWELLS RD,Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial", ,1,Approaching,Driver,40 to 44,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,No,No
23,MORNINGSIDE AVE,SEWELLS RD,Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial", ,1,Approaching,Passenger,30 to 34, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
23,MORNINGSIDE AVE,SEWELLS RD,Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial", ,1,Approaching,Driver,60 to 64,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,No,No
23,MORNINGSIDE AVE,SEWELLS RD,Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial", ,1,Approaching,Driver,20 to 24,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,No,No
23,MORNINGSIDE AVE,SEWELLS RD,Minor Arterial,Scarborough,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial", ,1,Approaching,Driver,70 to 74, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR AVE E,DANFORTH RD,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Angle,Driver,45 to 49,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive,No,No,Yes,No,No,No,Yes,No,Yes,No
2,ST CLAIR AVE E,DANFORTH RD,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Angle,Driver,45 to 49,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,Yes,No
2,ST CLAIR AVE E,DANFORTH RD,Major Arterial,Scarborough,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,0,Angle,Passenger,50 to 54, , , ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,Yes,No
2,DUNDAS ST W,MANNING AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,DUNDAS ST W,MANNING AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Pedestrian Collisions,Driver,55 to 59,East,Taxi,Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No
2,DUNDAS ST W,MANNING AVE,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,30 to 34,South,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,755 QUEEN ST E, ,Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Driver,20 to 24,East,"Automobile, Station Wagon",Going Ahead,Other,Had Been Drinking,Yes,No,Yes,No,No,No,Yes,No,No,No
2,755 QUEEN ST E, ,Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Pedestrian,35 to 39,South, , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
2,755 QUEEN ST E, ,Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Passenger,20 to 24, , , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
2,755 QUEEN ST E, ,Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Passenger,20 to 24, , , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
2,755 QUEEN ST E, ,Minor Arterial,Toronto and East York,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Passenger,20 to 24, , , ,Unknown,Unknown,Yes,No,Yes,No,No,No,Yes,No,No,No
2,LAWRENCE AVE E,GREENBRAE CRCT,Major Arterial,Scarborough,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Driver,65 to 69,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No
2,LAWRENCE AVE E,GREENBRAE CRCT,Major Arterial,Scarborough,Intersection,Non Intersection,No Control,Clear,"Dark, artificial",Dry,0,Pedestrian Collisions,Pedestrian,15 to 19,North, , ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Passenger,20 to 24, ,Other,Other,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Passenger,20 to 24, ,Other,Other,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Driver,20 to 24,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Passenger,30 to 34,North,Other,Turning Left,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Driver,unknown, ,"Automobile, Station Wagon", ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,ST CLAIR Aven W,HOUNSLOW HEATH Road,Major Arterial,Toronto and East York,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,0,Approaching,Passenger,20 to 24, ,Other,Other,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Driver,20 to 24,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Other,30 to 34,North,"Automobile, Station Wagon",Parked,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,25 to 29, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,25 to 29, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,1601 LAKE SHORE BLVD W, ,Major Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,40 to 44, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,DUNDAS ST W,RONCESVALLES AVE,Minor Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Cyclist Collisions,Driver,unknown,West,"Automobile, Station Wagon",Going Ahead,Lost control,Normal,No,Yes,Yes,No,No,No,No,No,No,No
2,DUNDAS ST W,RONCESVALLES AVE,Minor Arterial,Toronto and East York,Mid-Block, ,No Control,Clear,Dark,Dry,0,Cyclist Collisions,Cyclist,35 to 39,West,Bicycle,Going Ahead,Unknown,Unknown,No,Yes,Yes,No,No,No,No,No,No,No
2,EGLINTON AVE E,PHARMACY AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Turning Movement,Driver,30 to 34,West,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2,EGLINTON AVE E,PHARMACY AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Turning Movement,Truck Driver,45 to 49,East,Truck-Tractor,Turning Left,Driving Properly,Normal,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2,EGLINTON AVE E,PHARMACY AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Turning Movement,Passenger,20 to 24, , , ,Unknown,Unknown,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2,EGLINTON AVE E,PHARMACY AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Traffic Signal,Clear,"Dark, artificial",Dry,0,Turning Movement,Passenger,25 to 29, , , ,Unknown,Unknown,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
2,KINGSTON RD,ST QUENTIN AVE,Major Arterial,Scarborough,Mid-Block, ,No Control,Snow,Dark,Packed Snow,1,SMV Other,Passenger,15 to 19, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,KINGSTON RD,ST QUENTIN AVE,Major Arterial,Scarborough,Mid-Block, ,No Control,Snow,Dark,Packed Snow,1,SMV Other,Driver,20 to 24,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,KINGSTON RD,ST QUENTIN AVE,Major Arterial,Scarborough,Mid-Block, ,No Control,Snow,Dark,Packed Snow,1,SMV Other,Other Property Owner,unknown, ,Other, ,Unknown,Unknown,No,No,Yes,No,No,No,Yes,No,No,No
2,LAWRENCE AVE E,CARNFORTH RD,Major Arterial,North York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Pedestrian Collisions,Driver,20 to 24,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,Yes,No,Yes,No,No,No,No,No,No,No
2,LAWRENCE AVE E,CARNFORTH RD,Major Arterial,North York,Mid-Block, ,No Control,Rain,Dark,Wet,0,Pedestrian Collisions,Pedestrian,25 to 29,North,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,No,No,No
2,BRIMLEY RD,ELGAR AVE,Major Arterial,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,1,Turning Movement,Driver,25 to 29,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,No,No,Yes,No,No,No,No,Yes,Yes,No
2,BRIMLEY RD,ELGAR AVE,Major Arterial,Scarborough,Intersection,At Intersection,Stop Sign,Clear,Dark,Wet,1,Turning Movement,Driver,15 to 19,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal,No,No,Yes,No,No,No,No,Yes,Yes,No
2,225 QUEEN ST W,QUEEN Stre W,Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,"Automobile, Station Wagon", ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
2,225 QUEEN ST W,QUEEN Stre W,Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Driver,15 to 19,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
2,225 QUEEN ST W,QUEEN Stre W,Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Vehicle Owner,unknown, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
2,225 QUEEN ST W,QUEEN Stre W,Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Driver,35 to 39,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
2,225 QUEEN ST W,QUEEN Stre W,Major Arterial,Toronto and East York,Mid-Block,At Intersection,No Control,Clear,Dark,Dry,0,Pedestrian Collisions,Pedestrian,45 to 49, ,Other, ,Unknown,Unknown,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes
