,Index,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,max value received ,avg val received,min val sent,max val sent,avg val sent,min value sent to contract,max val sent to contract,avg value sent to contract,total transactions (including tnx to create contract,total Ether sent,total ether received,total ether sent contracts,total ether balance, Total ERC20 tnxs, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec addr, ERC20 uniq sent addr.1, ERC20 uniq rec contract addr, ERC20 avg time between sent tnx, ERC20 avg time between rec tnx, ERC20 avg time between rec 2 tnx, ERC20 avg time between contract tnx, ERC20 min val rec, ERC20 max val rec, ERC20 avg val rec, ERC20 min val sent, ERC20 max val sent, ERC20 avg val sent, ERC20 min val sent contract, ERC20 max val sent contract, ERC20 avg val sent contract, ERC20 uniq sent token name, ERC20 uniq rec token name, ERC20 most sent token type, ERC20_most_rec_token_type
12,13,0x001b28141562bc2601694d27c3f5fda2c06c234c,0,0.0,12431.27,198900.25,0,16,1,4,0,0.0,1.002069,0.769166,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,12.30665958,0.0,12.30665958,2.0,0.181283664,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.07536699999999999,0.105917,0.090642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
13,14,0x001cb265c5606d79035059686ae5f94c6a4c2c2c,0,9520.7,5776.32,78197.58,7,2,0,2,4,0.095,0.26515900000000003,0.180079,0.0,0.133441,0.037563,0.0,0.0,0.0,9,0.262941117,0.36015854,0.0,0.097217423,3.0,8.001,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.001,5.0,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,PoSToken
14,15,0x001cf9871aeaf2acf72f144b16818b7e417b6dda,0,14106.66,3742.82,540061.9,32,24,0,11,21,0.0,1499.9995800000004,77.125266,0.0,1100.0,102.312148,0.0,0.0,0.0,56,3273.988723,1851.0063760000005,0.0,-1422.982347,33.0,139827.7923,133086.5,0.0,4.0,23.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,118324.5,4993.849726,1e-06,118324.5,26617.3,0.0,0.0,0.0,4.0,26.0,TenXPay,KyberNetwork
15,16,0x001d54f72af6eae0fdd17009c391426754bec5c2,0,757.91,11.08,25802.32,34,3,1,3,13,0.091844,1.0,0.530615,0.0,0.933444,0.044268,0.0,0.0,0.0,38,1.5051029580000002,1.591844363,0.0,0.086741405,4.0,0.0,5e-06,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,1e-06,0.0,0.0,0.0,1.0,0.0,,None
16,17,0x001e6fbcd020823d3161df44bb5da6c34419eecb,0,3.13,4923.24,280803.43,57,57,0,2,2,0.016037,0.277689,0.204013,0.015617,0.277269,0.203593,0.0,0.0,0.0,114,11.6048114,11.6287514,0.0,0.023940002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
17,18,0x001eb1e90d25e8c1372c38f2b2a36b49b6634235,0,27681.45,11171.03,842599.05,26,11,0,6,15,0.09,34.94,16.564688,0.0,34.9,9.896423,0.0,0.0,0.0,37,257.307,182.2115661,0.0,-75.09543387,13.0,308440.3104,307097.3104,0.0,4.0,8.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,274230.0,34271.1456,1620.0,274231.0,76774.3276,0.0,0.0,0.0,3.0,7.0,StatusNetwork,Bancor
18,19,0x001f357ca93307571d8cd93d09ce25a3660429af,0,770.29,3.82,2318.5,3,2,0,1,3,7.772,19.995,13.8835,3.7,20.082772,9.255226,0.0,0.0,0.0,5,27.765677,27.767,0.0,0.001323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,20,0x001f99982965a3792077893ecadc7be0c61d613c,0,163.78,1.11,329.78,2,2,0,2,2,44.048882,56.95111800000001,50.5,0.61,100.388974,50.499487,0.0,0.0,0.0,4,100.9989738,101.0,0.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
20,21,0x00235134f8335d48cf506b25cc376fc84520588b,0,0.0,6324.45,113840.02,0,18,1,5,0,0.0,12.782766,5.662421,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,101.9235724,0.0,101.9235724,2.0,4.983578382,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.983578,2.491789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,OmiseGO
21,22,0x0023a6a2c8316ccfb083a194aa5668bd75891455,0,725.77,41108.66,292841.02,7,7,0,4,3,0.0,17.949074,8.407243,2.0,30.950276,22.441764000000006,0.0,0.0,0.0,14,157.09235049999995,58.85070376,0.0,-98.24164672,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,ONOT
22,23,0x0029a9b2ea1e45e32fb6344b117388515858d040,0,91.14,64.3,712.88,5,4,0,4,5,0.5,5.0,2.1875,0.377203,2.851287,1.749551,0.0,0.0,0.0,9,8.747754943,8.75,0.0,0.002245057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
23,24,0x002a68f53b92cef5ee4e7ce015b78408f20942bb,0,2477.34,6928.28,892782.2,8,126,0,1,2,0.013556,0.501254,0.342666,0.1,2.0,1.2625,0.0,0.0,0.0,134,10.1,43.17587621,0.0,33.07587621,16.0,2765.749578,100.0,0.0,1.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1500.0,184.383305,100.0,100.0,100.0,0.0,0.0,0.0,1.0,15.0,blockwell.ai KYC Casper Token,Tronix
24,25,0x002ab919205b134d05d0746e22c7f8000523c660,0,0.0,13339.9,226778.27,0,17,1,6,0,0.0,11.291416,4.860215,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,82.62366163,0.0,82.62366163,3.0,4.804121022,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.920501,2.0,1.601374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,None,DATAcoin
25,26,0x002b043689ad84008fffab16afc1955f5a3aebde,0,0.0,0.0,30.65,1,1,0,1,1,4.999,4.999,4.999,4.99774,4.99774,4.99774,0.0,0.0,0.0,2,4.99774,4.999,0.0,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
26,27,0x0031ebb20a0aaf8c67be012bb3a3483d75269635,0,1797.42,60933.08,330187.83,82,3,0,3,7,0.0,30.0,11.666667,0.0,30.0,0.760256,0.0,0.0,0.0,85,62.341,35.0,0.0,-27.341,11.0,1473.843474,0.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,600.0,133.98577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,None,XENON
27,28,0x003300d3d2c46983b9a55b07b9b2ab47d6228111,0,0.0,0.0,68.87,1,1,0,1,1,0.5476489999999999,0.5476489999999999,0.5476489999999999,0.546389,0.546389,0.546389,0.0,0.0,0.0,2,0.54638892,0.54764892,0.0,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
28,29,0x0033fd555da940b923a7f6f465cc4d9088724263,0,155.22,112602.93,338429.65,4,3,0,3,3,0.0,2.337156,1.512385,2.0,2.379635,2.104909,0.0,0.0,0.0,7,8.419634776,4.5371564000000015,0.0,-3.882478376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,30,0x0034f7473531239b1799bc7f14ff97d5303a5a93,0,14626.26,6594.93,955278.0,59,14,0,7,34,0.00979,1100.0,167.979641,0.0,500.0,43.052269,0.0,0.0,0.0,73,2540.083853,2351.714972,0.0,-188.368881,48.0,1555219.09,1545239.0280000004,0.0,12.0,26.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,322932.1604,47127.8512,0.0,1230000.0,103015.9352,0.0,0.0,0.0,11.0,23.0,EOS,StatusNetwork
30,31,0x0036ed1e6299bb586ac70ebdfa336f06714a9556,0,0.0,5498.63,291427.53,0,53,1,4,0,0.0,1.002204,0.504895,0.0,0.0,0.0,0.0,0.0,0.0,54,0.0,26.75944516,0.0,26.75944516,2.0,0.55819781,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.10587,0.452328,0.279099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
31,32,0x0038ab9bf479faa2997522b3cf9492153ea6b33f,0,3.33,51068.75,561789.58,10,11,0,8,1,0.022663,20.799,5.11114,0.923126,20.797915,5.621492,0.0,0.0,0.0,21,56.21491815,56.22253457,0.0,0.00761642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32,33,0x003b9a44dcc7b59546a8b1c1e7dccd57eb99f07d,0,1128.56,0.0,2257.12,2,1,0,1,2,1.7479810000000002,1.7479810000000002,1.7479810000000002,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.74798122,0.0,1.74798122,10.0,327.9083121000001,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,290.214723,32.790831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
33,34,0x003c5ebfa5cdb3d73bad42bb07db823f6c77a236,0,2152.95,680.22,22889.93,10,2,0,1,6,0.05,0.1,0.075,0.0,0.060734,0.011073,0.0,0.0,0.0,12,0.110734264,0.15,0.0,0.039265736,2.0,1e-12,1e-11,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,
34,35,0x003d8b1e6723960d60367a719fe65e08643a2a80,0,0.0,648.26,449889.15,0,694,1,4,0,0.0,22.0,1.618731,0.0,0.0,0.0,0.0,0.0,0.0,695,0.0,1123.399095,0.0,1123.399095,2.0,0.532864637,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.082576,0.4502890000000001,0.266432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,None,DATAcoin
35,36,0x003e2b1599587a6c2f38928ea8f874a74fb1bbbc,0,45.91,58.88,450106.65,5970,2989,0,1337,2212,0.0,3140.99958,74.622817,0.0,3900.0,37.84572100000001,0.0,0.0,0.0,8959,225938.9558,223047.6014,0.0,-2891.354427,325.0,139793.7886,137260.2674,0.0,21.0,295.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,72838.70935,470.686157,0.0,93524.52194,4902.152406,0.0,0.0,0.0,6.0,15.0,ICO,Storj
36,37,0x004534ebd59b0b094da701dbfd952ef605470128,0,0.0,0.0,4.87,1,1,0,1,1,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.003,0.0,0.003,2.0,3.75e-12,5e-15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,bitqy,bitqy
37,38,0x0045eb75acf6e1cb1d9ec41e352a879e2cd50b35,0,1067.84,128.81,636162.82,68,4375,0,1,4,0.443993,3.602495,1.055731,0.0,520.8121679999998,67.923395,0.0,0.0,0.0,4443,4618.790832,4618.823828000001,0.0,0.03299662,10.0,1444.347483,4.431401966,0.0,2.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,768.42897,180.543435,2.2155,2.2159020000000003,2.215701,0.0,0.0,0.0,1.0,8.0,OmiseGO,XENON
38,39,0x00462f4a169c1dc0b9dc428aa37d394c8abf1266,0,1051.87,85496.6,345142.02,3,4,0,2,3,0.0,3.508474,1.395953,0.006999999999999999,5.544,3.683667,0.0,0.0,0.0,7,11.050999999999998,5.583810700000001,0.0,-5.4671892999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
39,40,0x00472c1e4275230354dbe5007a5976053f12610a,0,2.12,0.92,21206.93,9996,4,3,3,2,1.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,10003,0.0,44.0,0.0,44.0,35.0,3106124509.0,100.0,0.0,1.0,25.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1553054037.0,91356603.2,100.0,100.0,100.0,0.0,0.0,0.0,1.0,29.0,blockwell.ai KYC Casper Token,Beauty Coin
40,41,0x004853f00fab90ab60cf1e609b0b61494b90164c,0,17441.04,1245.91,160707.1,9,3,0,2,4,1.0,49.995,18.996667,0.0,20.0,6.226376,0.0,0.0,0.0,12,56.03738689,56.99,0.0,0.952613114,13.0,122017.8964,120100.0,0.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,60716.0,12201.78964,100.0,100000.0,40033.33333,0.0,0.0,0.0,1.0,9.0,SONM,SONM
41,42,0x004e1c2a12ac1d0b70907c702892f397a4769bfb,0,45561.42,26284.49,802574.4,13,8,0,7,5,0.0,45.4,21.925,0.0,99.0,20.327692000000006,0.0,0.0,0.0,21,264.26,175.4,0.0,-88.86,15.0,21167.384,636100.0,0.0,4.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,20180.614,2645.923,2500.0,300000.0,90871.42857,0.0,0.0,0.0,2.0,6.0,BAT,NEVERDIE
42,43,0x004f1cea50b057ad8b6f445e128edbdc9b48902b,0,379.78,56424.63,339687.12,3,6,0,6,1,0.0,1.515068,0.888941,4.5,4.5,4.5,0.0,0.0,0.0,9,13.5,5.3336489999999985,0.0,-8.166350999999999,13.0,53070.89588,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,52417.0,4082.376606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,None,Tronix
43,44,0x005073a74dd37889bebbf9de7550dea7666f625b,0,1478.05,51541.26,355017.02,33,6,0,3,11,0.0,51.0,9.803306,0.0,20.0,2.307983,0.0,0.0,0.0,39,76.16345259,58.81983438,0.0,-17.34361821,7.0,25000.0,27500.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1e-06,25000.0,12500.0,0.0,15000.0,5500.0,0.0,0.0,0.0,4.0,2.0,StatusNetwork,StatusNetwork
44,45,0x005457078e3c355023433874edffc8b254881334,0,164.22,0.0,328.45,2,1,0,1,2,101.0,101.0,101.0,1.335323,99.663651,50.499487,0.0,0.0,0.0,3,100.9989738,101.0,0.0,0.001026218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,46,0x00595d5ec3bb583428a0304b2940a70d7f553aef,0,1790.44,450.56,13445.97,6,6,0,5,2,0.2,10.0,2.615514,0.199528,9.999545,2.614933,0.0,0.0,0.0,12,15.68959511,15.69308421,0.0,0.0034890990000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
46,47,0x0059782ecd69fb5413c5e1a98b40c28dff061162,0,803.95,112925.21,340383.53,2,3,0,2,2,0.0,6.995,2.333333,6.955496000000001,6.956,6.955748,0.0,0.0,0.0,5,13.911496,7.0,0.0,-6.9114960000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
47,48,0x005b98bb53be9d5789d27aa1c69ec8a789eff9c1,0,18649.44,15420.31,266825.07,11,4,0,3,6,0.195,4.0,1.67375,0.0,1.9,0.759219,0.0,0.0,0.0,15,8.351405032999999,6.695,0.0,-1.6564050330000002,4.0,148.7699492,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,136.515289,37.192487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,None,INS Promo
48,49,0x005cb96b96c8fe801f89500df6ee38dc5fa0081f,0,65.85,32.24,204236.48,2217,1807,0,1471,1205,0.0,799.99874,18.736369,0.0,1100.0,15.276167,0.0,0.0,0.0,4024,33867.26324,33856.6182,0.0,-10.64504551,5.0,4195.406065,4193.352,0.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2096.676,1048.851516,4193.352,4193.352,4193.352,0.0,0.0,0.0,1.0,3.0,TenXPay,TenXPay
49,50,0x005d3bffd33b1a012279d25d30f75133584404db,0,181.7,56819.72,286279.03,12,5,0,5,7,0.0,174.995,63.085,0.1,225.0,59.51666700000001,0.0,0.0,0.0,17,714.2,315.425,0.0,-398.775,11.0,255.2313319,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,219.313921,23.202848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,None,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY
50,51,0x006482de8230af0f8e2918a439c7826fe8642a43,0,23359.72,27049.27,1169229.5,35,13,0,6,23,0.0,972.434,182.498725,0.0,500.0,85.766674,0.0,0.0,0.0,48,3001.833603,2372.483424,0.0,-629.3501786,20.0,95357.7025,96084.93585,0.0,8.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,50000.0,8668.882045,0.0,50000.0,10676.10398,0.0,0.0,0.0,6.0,11.0,Melon,EOS
51,52,0x006743c8992ca6d54c23fa3a745a4781b3817f0c,0,20827.93,0.0,186707.1,8,1,0,1,2,10.0,10.0,10.0,1.621938,26.0,12.688992,0.0,0.0,0.0,9,101.5119377,10.0,0.0,-91.51193767,1.0,0.031819385,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.031819,0.031819,0.031819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,OmiseGO
52,53,0x0067e167caf808eaa6f642d9232e54ff7bb47c07,0,4183.18,1470.01,962956.75,181,140,0,57,103,0.0731,117.7,4.007761,0.0,240.0,3.288313,0.0,0.0,0.0,321,595.1846,561.0865,0.0,-34.0981,135.0,2447415.911,2345018.342,0.0,34.0,51.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,1051000.0,28458.32455,1e-06,526000.0,47857.51719,0.0,0.0,0.0,25.0,64.0,Friendz Coin,Cybereits Token
53,54,0x006aaaff2ff3358bc8453febaba4e236b028df80,0,1969.46,288.59,97419.95,48,10,0,4,13,0.09,99.99,25.810391,0.0,100.0,6.758479,0.0,0.0,0.0,58,324.407,258.1039104,0.0,-66.3030896,27.0,406.7725702,0.000150816,0.0,2.0,6.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,365.0,20.338629,0.0,5.400000000000001e-05,2.2e-05,0.0,0.0,0.0,2.0,9.0,FunFair,FunFair
54,55,0x007174732705604bbbf77038332dc52fd5a5000c,0,76.32,74.96,754216.92,3424,6576,2,4848,1129,3.8e-05,12867.39971,21.959042,0.0,9000.0,43.26697,0.0,0.0,0.0,10002,148146.1047,144402.6609,0.0,-3743.443847,579.0,3129376351.0,18694925.79,0.0,137.0,135.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,1553026016.0,11808967.36,0.0,9330000.0,59537.98022000001,0.0,0.0,0.0,7.0,85.0,MKR,DGD
55,56,0x0071763e7e796eeb4c32f083aa4a3ac2f33bf5c0,0,26.01,82.8,652.87,6,6,0,5,1,0.77,1.3,1.047658,0.769559,1.299528,1.047197,0.0,0.0,0.0,12,6.283183805,6.28594603,0.0,0.002762225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
