Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Europe & Central Asia (IDA & IBRD countries),1.497226869,1.48659927,1.486544186,1.463701067,1.38059074,1.135149578,1.158733967,1.120599741,1.079397729,0.999651413,1.047243118,1.132871864,1.085435335,1.081291561,1.070584626,1.091655612,1.049907307,1.015284139,1.000005317,1.032864674,1.045411619,0.997790613,0.98808638,1.03729701,1.02100752,0.992314102,0.967747738,0.915116161,0.858362966,0.631543696,0.427477946,0.389497887,0.346961734,0.165662231,0.118101986,0.055024432,0.113493923,0.051277499,0.014745941,-0.087936113,-0.052732944,-0.071430573,0.032306192,0.078729777,0.094024546,0.122429288,0.127306422,0.24096185,0.409390564,0.446691537,0.500414961,0.533852267,0.573645503,0.560198653,0.515866289
European Union,0.85679052,0.887062676,0.893428687,0.875981627,0.8292738,0.766094858,0.727177296,0.671542529,0.644197656,0.530234576,0.521628103,0.626423559,0.589720746,0.548731588,0.526562678,0.476050953,0.425559733,0.427324815,0.388839609,0.398368569,0.374944666,0.271290145,0.22970186,0.21990256,0.242253161,0.276514825,0.284344828,0.319370853,0.340048036,0.342729317,0.19970212,0.292155035,0.328652139,0.224315866,0.191598623,0.135210797,0.170754504,0.133071259,0.206831927,0.165298611,0.247637126,0.276212009,0.372831515,0.402096335,0.398315559,0.377593456,0.369721405,0.377653063,0.300206699,0.218917602,0.220924867,-0.08466538,0.584502342,0.057838104,0.260379602
Fragile and conflict affected situations,2.306992949,2.346137538,2.390088046,2.45012471,2.51850683,2.590273771,2.652379094,2.691590585,2.70487075,2.701506109,2.682412134,2.672097917,2.689709889,2.748095688,2.824059332,2.91127968,2.967517991,2.958460734,2.86949646,2.731803108,2.589563348,2.477991798,2.406380736,2.385160386,2.402413115,2.414905502,2.426311392,2.475132127,2.564555571,3.465684884,2.813958201,2.909043505,2.934115934,2.87206453,2.757024517,2.626573533,2.524614493,2.404309944,2.383335421,2.471397102,2.538465013,2.567749306,2.58142865,2.573147258,2.549632707,2.530715602,2.512664659,2.490712366,2.458504096,2.423251382,2.385358384,2.35255935,2.337926102,2.342776686,2.363819395
Heavily indebted poor countries (HIPC),2.367107483,2.401848276,2.437469127,2.474770425,2.51215364,2.546650158,2.577106143,2.604701365,2.62921717,2.650228198,2.668582323,2.682802912,2.690510782,2.691015393,2.686089999,2.684585685,2.682884063,2.670025825,2.644007507,2.612876557,2.581294118,2.562925695,2.569451503,2.606441726,2.664315946,2.71843182,2.767034923,2.828225352,2.903000528,2.980224733,3.063619617,3.1266178,3.136610401,3.08305807,2.991532064,2.888925804,2.808608146,2.765406016,2.770744439,2.807248991,2.848803657,2.876284017,2.891064343,2.888079457,2.873279583,2.856386197,2.843663373,2.833355266,2.826815375,2.822120449,2.81621663,2.807148745,2.795427368,2.780614176,2.763231707
High income,1.500323698,1.302935107,1.275082929,1.245151063,1.180350442,1.088138768,1.028588487,0.898797572,1.094517411,0.966627843,1.026782203,1.028317958,0.917512212,1.029908096,0.975144121,0.804100875,0.827299082,0.839203886,0.855408473,0.818927598,0.822414202,0.765523917,0.714511668,0.671861779,0.669993488,0.694706737,0.687374924,0.696557577,0.738200622,0.780802251,0.790155478,0.622638171,0.786374357,0.715487001,0.863302693,0.673883434,0.674360298,0.639396067,0.648749663,0.635035928,0.691571963,0.678539365,0.663483483,0.691978991,0.702521389,0.746977278,0.784940736,0.826867537,0.731445495,0.651365996,0.593266719,0.451937743,0.71603484,0.482545617,0.558394907
Late-demographic dividend,0.200222186,1.314057277,2.299222526,2.225854245,2.233800782,2.415906559,2.28878837,2.304011695,2.368932068,2.359306156,2.354513877,2.194691731,2.07557642,1.933241813,1.743883648,1.610681837,1.481797582,1.457089736,1.449614956,1.400961298,1.396778978,1.512220239,1.485804895,1.409905325,1.443619812,1.518783442,1.579921848,1.560532615,1.489279089,1.384191608,1.270460714,1.042014794,1.074863181,1.049631182,1.099752329,0.982157681,0.965384274,0.926629944,0.862536604,0.782309405,0.744939032,0.699934158,0.680447068,0.668681315,0.662222367,0.64059234,0.613439868,0.612945807,0.623716797,0.596057013,0.601751045,0.612173082,0.613577342,0.612241364,0.597926216
Latin America & Caribbean,2.810978588,2.830592346,2.825202843,2.788955344,2.733467944,2.673790643,2.620029331,2.578258826,2.552990409,2.537905228,2.523846226,2.502314351,2.477828378,2.445027439,2.406586029,2.367638835,2.32898713,2.296626984,2.266746613,2.240457544,2.212421914,2.185439118,2.151904882,2.11388484,2.069685361,2.026727103,1.983565122,1.940345034,1.902803914,1.862508593,1.820543212,1.780051667,1.744412594,1.711196754,1.67944401,1.653281982,1.619377384,1.585814824,1.53452185,1.48565516,1.438192325,1.393788861,1.357224933,1.329771796,1.308359717,1.287742099,1.266396566,1.24523466,1.22208694,1.197775729,1.169966442,1.146409193,1.122216836,1.093131291,1.065564332
Latin America & Caribbean (excluding high income),2.866885351,2.885417254,2.88027397,2.845980045,2.793145285,2.735114921,2.683819891,2.643103434,2.617237996,2.600582401,2.584518972,2.563390546,2.537073174,2.50375846,2.465940511,2.426714753,2.388692205,2.353711741,2.323059914,2.294588284,2.264826968,2.234988716,2.199611616,2.158201483,2.111939431,2.065819719,2.019911975,1.974418462,1.934731447,1.891591938,1.848874838,1.806902656,1.768425977,1.734318422,1.702899855,1.675704888,1.643610184,1.607093313,1.562618957,1.514620372,1.466276483,1.420416949,1.382851931,1.354567856,1.332809348,1.312847069,1.291468412,1.269243488,1.245172645,1.219717608,1.194509836,1.169675698,1.143781589,1.116566323,1.08849803
Latin America & the Caribbean (IDA & IBRD countries),2.84964449,2.861644583,2.852892825,2.818767345,2.768483599,2.713957587,2.665126632,2.624851997,2.596748885,2.57644827,2.556396661,2.532949744,2.507304445,2.47838974,2.447332533,2.415120244,2.382983818,2.352960154,2.325924037,2.299945031,2.272807739,2.2452777,2.21041715,2.167399128,2.118264218,2.068614726,2.019968219,1.973597951,1.935430321,1.895470571,1.856252442,1.816963784,1.780170733,1.746354218,1.714251212,1.686256475,1.653693567,1.61656543,1.57141389,1.522738297,1.473546769,1.427007062,1.389402339,1.361929385,1.341530259,1.323152927,1.303083901,1.281607412,1.257505201,1.231499235,1.205543107,1.180185714,1.154173947,1.127416251,1.100166628
Least developed countries: UN classification,2.347966951,2.372109551,2.408814943,2.46225821,2.522091058,2.587876942,2.636247456,2.641893748,2.595335779,2.517712954,2.430834468,2.364408911,2.333510867,2.349230424,2.395962921,2.450274741,2.493445384,2.52511451,2.539838523,2.543864298,2.547153331,2.556933016,2.572227557,2.594772057,2.621912378,2.64391597,2.662741268,2.688484653,2.72270586,2.758707379,2.797148634,2.822879988,2.818552227,2.778005659,2.715188135,2.644496332,2.58518836,2.546732689,2.536040826,2.542856808,2.555200558,2.558470625,2.547114454,2.516412326,2.473113035,2.429272827,2.394375283,2.375041621,2.375567026,2.388620999,2.408004208,2.413409077,2.414675555,2.40548838,2.38884757
Low & middle income,1.303925896,1.86075254,2.338773907,2.311673826,2.328087884,2.424018483,2.367054094,2.379382766,2.416060462,2.419303944,2.41917479,2.338934929,2.283149306,2.217385647,2.129308158,2.06794833,2.010133054,2.003959018,2.008992968,1.9962601,2.004684675,2.059897012,2.049268608,2.011230072,2.017681796,2.041829156,2.058015358,2.034866258,1.982682193,1.956973048,1.843339072,1.772830404,1.719786292,1.684732182,1.651357805,1.623467572,1.60065152,1.564867014,1.519777707,1.484852339,1.442530366,1.404199407,1.388844214,1.373042117,1.359510285,1.341320011,1.321012956,1.318521428,1.322586037,1.321704191,1.323834914,1.322282272,1.321782679,1.316719872,1.303585191
Low income,2.193731584,2.198115014,2.225560731,2.284556248,2.36200095,2.439487983,2.500576103,2.542869365,2.561320382,2.562189304,2.55862069,2.554993143,2.544887066,2.528830131,2.508931127,2.492504909,2.477416771,2.455961209,2.427029958,2.397163724,2.366101254,2.348272574,2.360388855,2.409000792,2.481552405,2.555546364,2.62022628,2.68205028,2.738153745,2.786464028,2.836857305,2.878041342,2.888765149,2.863425124,2.816251338,2.761034837,2.717763116,2.697369649,2.707080351,2.735792174,2.76825948,2.790953704,2.802126603,2.797865061,2.783807254,2.766014185,2.752786276,2.747825028,2.75375532,2.765377756,2.777147478,2.781823609,2.776103418,2.757593077,2.730351185
Lower middle income,2.261280057,2.288724356,2.295695457,2.327474088,2.328989134,2.336423315,2.340790373,2.347721891,2.349827099,2.354238431,2.35027473,2.355291189,2.366911107,2.373262085,2.384454356,2.391956987,2.396964354,2.40704366,2.422354576,2.435124376,2.432388206,2.439411188,2.434752052,2.416104531,2.395439591,2.373521091,2.342570416,2.303585272,2.258840551,2.303801394,2.151429983,2.111015655,2.055290135,2.005845504,1.961843259,1.926393769,1.891205632,1.847323444,1.804269015,1.774882936,1.743732637,1.710609888,1.685932038,1.662304103,1.636797851,1.613813222,1.593801555,1.574815221,1.556478936,1.547832969,1.528465574,1.496718112,1.482022783,1.471615416,1.461425464
Middle East & North Africa,2.720577,2.775640077,2.770620576,2.792768284,2.794935779,2.789618623,2.84048692,2.786905888,2.77374384,2.757865596,2.71215347,2.686590213,2.741024607,2.777551662,2.849532927,2.929095585,3.001183736,3.079188469,3.175271735,3.254041777,3.317276496,3.363965548,3.370827401,3.305347787,3.290074549,3.222453287,3.126642892,3.003627724,2.815833212,3.504864764,2.571537301,1.63158265,2.252255549,2.223117917,2.750738007,2.097491194,2.074649481,2.027122081,2.000754214,1.958498908,1.916997492,1.882082642,1.884278305,1.934823025,2.010948491,2.094298029,2.156503851,2.185888044,2.174213953,2.101190484,2.038604813,1.972824535,1.919837158,1.876511539,1.840389558
Middle East & North Africa (excluding high income),2.661589506,2.669360204,2.678722837,2.693597956,2.709831139,2.730300481,2.741880711,2.728886204,2.6864365,2.629433187,2.561290246,2.528479322,2.530104489,2.57332956,2.645002427,2.714809659,2.778539175,2.852823836,2.936774781,3.020600526,3.09673937,3.150248395,3.17240479,3.136388281,3.136020886,3.094988167,3.016611928,2.912087142,2.741109914,3.529033071,2.459667399,2.314044454,2.16137119,2.146668151,2.089975194,2.046609905,2.011848089,1.949621029,1.899714426,1.833518162,1.778237319,1.735334677,1.711192872,1.7166778,1.740630135,1.769709649,1.791717955,1.81155471,1.814928955,1.805802364,1.80144888,1.78508612,1.77835397,1.772912687,1.767801432
Middle East & North Africa (IDA & IBRD countries),2.661589506,2.669360204,2.678722837,2.693597956,2.709831139,2.730300481,2.741880711,2.728886204,2.6864365,2.629433187,2.561290246,2.528479322,2.530104489,2.57332956,2.645002427,2.714809659,2.778539175,2.852823836,2.936774781,3.020600526,3.09673937,3.150248395,3.17240479,3.136388281,3.136020886,3.094988167,3.016611928,2.912087142,2.741109914,2.624815656,2.440988361,2.293665611,2.139132989,2.123760463,2.065969785,2.021584813,1.985843548,1.94298958,1.89251947,1.825577929,1.769651262,1.726220922,1.701742138,1.707203999,1.73133705,1.760659862,1.782839973,1.799052236,1.802216214,1.792763522,1.787035164,1.770190445,1.763456127,1.758094475,1.753158193
Middle income,1.239070794,1.835931393,2.347133091,2.313673695,2.325587572,2.422877556,2.357204803,2.367306238,2.40531191,2.408714992,2.408825241,2.322875829,2.263650821,2.19412039,2.10085701,2.036002425,1.974814823,1.969627416,1.977089738,1.96552944,1.97686356,2.037613716,2.025154596,1.980298737,1.981458785,2.001516976,2.013658173,1.983501277,1.922312068,1.89015741,1.762607022,1.68207429,1.622664729,1.585583473,1.552137281,1.525368463,1.503143928,1.464833124,1.413629382,1.371588262,1.320879254,1.275130729,1.255337726,1.236389329,1.220800981,1.200429539,1.17723199,1.172753349,1.174355385,1.169844233,1.16855008,1.163852263,1.161394556,1.155278398,1.141192129
North America,1.703260449,1.579693823,1.488850314,1.444968325,1.310310518,1.22781222,1.161733415,1.061703836,1.018496363,1.194141912,1.294052051,1.126039074,1.029722149,1.002542083,1.078881594,0.99115932,1.027374298,1.059534169,1.099099786,0.997197916,1.011773131,0.982779923,0.92731884,0.879081547,0.894351398,0.936441672,0.9393843,0.950363684,1.033144134,1.17280028,1.347292388,1.379917322,1.304535201,1.206983854,1.16132474,1.161440266,1.196374656,1.142415706,1.122814894,1.096076771,0.996637494,0.929016733,0.876712766,0.937332826,0.932302331,0.952197623,0.957383676,0.963836922,0.907136495,0.866908087,0.788818824,0.806843282,0.782129608,0.815674725,0.795346169
OECD members,1.562061001,1.366486717,1.343653712,1.321425868,1.263018911,1.185235916,1.124329906,1.007284008,1.203606344,1.08248564,1.146579885,1.155526607,1.047346476,1.15166573,1.085158996,0.915785058,0.928092508,0.927812942,0.917218317,0.890233708,0.880782012,0.825025759,0.784367163,0.745514069,0.747854404,0.773012797,0.762993415,0.77156196,0.814099381,0.860184848,0.905294017,0.904994716,0.854437209,0.804841327,0.785165129,0.763203075,0.75670289,0.726074073,0.725075344,0.710740488,0.734006838,0.720128684,0.70671691,0.707098933,0.704742461,0.729270296,0.748611656,0.783139842,0.716697639,0.667021553,0.6477493,0.514287598,0.776917033,0.565204042,0.626923814
Other small states,1.834067892,1.833015194,1.833313065,1.86289153,1.878062919,1.872046352,1.871727228,1.920054632,1.955871105,1.994647525,2.059077102,2.081304408,2.078447923,2.069468528,2.078252896,2.050645329,2.048211334,2.06631075,2.154877639,2.250942619,2.327116614,2.416893906,2.445722586,2.485999717,2.569240466,2.635561022,2.662797531,2.631066991,2.514300713,2.297378053,2.165725776,1.925156645,1.762415629,1.729890817,1.731983149,1.736322602,1.742404387,1.763384489,1.809292786,1.870772829,1.764088257,1.708069796,1.766848064,1.930535291,2.115787865,2.403918985,2.630612495,2.705614421,2.539325702,2.38691099,2.306294245,2.050090503,1.929150403,1.849228753,1.801585724
Pacific island small states,3.280161606,3.356254844,3.341834168,3.220679525,3.032245631,2.834713575,2.665146406,2.519309547,2.407555298,2.322799083,2.243942241,2.167951737,2.115218103,2.086701924,2.077129101,2.058914022,2.042168601,2.061660096,2.124119022,2.204827052,2.31261029,2.383828766,2.33968152,2.152115576,1.879559581,1.570252209,1.320313233,1.194781437,1.23865155,1.394580375,1.583553517,1.720146243,1.778100667,1.726385516,1.600824823,1.467879846,1.364613895,1.272759618,1.201249571,1.148463222,1.090662255,1.038898759,1.028515762,1.070106932,1.145930068,1.235477325,1.30975757,1.353116984,1.353581013,1.322949746,1.285508277,1.256022169,1.228052074,1.205618525,1.186909649
Post-demographic dividend,1.432674039,1.234949027,1.200545871,1.164246209,1.112749594,1.027366646,0.948111388,0.821108221,1.021420199,0.90437593,0.962048607,0.942350171,0.817449202,0.926009203,0.858854616,0.671344105,0.689852431,0.700138657,0.707351786,0.665025066,0.671296534,0.599205322,0.551039009,0.516429231,0.519144432,0.562193854,0.568482495,0.58700761,0.628167452,0.644147641,0.652132419,0.696135207,0.661311301,0.570324518,0.538006064,0.516778888,0.514219789,0.477004932,0.489820254,0.507383684,0.516033674,0.505043719,0.503328653,0.520929058,0.511733772,0.538199756,0.554182763,0.607038318,0.516759196,0.470352325,0.420118876,0.287312856,0.590127832,0.354184707,0.439050831
Pre-demographic dividend,2.282057408,2.327227956,2.373661642,2.421732292,2.469748727,2.519997368,2.566807328,2.601983527,2.622953233,2.635967575,2.635924174,2.641489014,2.677218724,2.751063845,2.843139773,2.945057243,3.018752206,3.029641893,2.963867738,2.852508189,2.734164879,2.645145134,2.593963891,2.592567322,2.626768828,2.658161636,2.684027457,2.734002932,2.810547309,2.89819241,2.997212879,3.074079554,3.091097432,3.0350125,2.93563486,2.824513167,2.740979731,2.702385376,2.722177395,2.779505946,2.843834961,2.89138285,2.922127458,2.929525231,2.919967391,2.908864608,2.903189856,2.904633772,2.915815453,2.931408834,2.9513345,2.954322972,2.948308806,2.926591725,2.894524271
Small states,1.944799583,1.955666708,1.945091604,1.922082413,1.871946308,1.810504509,1.756532676,1.749501359,1.757488869,1.782407023,1.822608068,1.838219849,1.835464752,1.822558971,1.818947133,1.794768613,1.782604473,1.793741795,1.866465268,1.95071411,2.000887013,2.098361379,2.117868619,2.112794197,2.103376935,2.088333097,2.041584228,1.977710001,1.968137761,1.833012565,1.77693682,1.637262764,1.540725745,1.521148422,1.516328374,1.544869195,1.51920581,1.520349976,1.526648696,1.555749872,1.476386755,1.408355688,1.450031246,1.576329684,1.724422985,1.950063641,2.130945574,2.198585736,2.083370972,1.972278243,1.910844226,1.717428901,1.623258302,1.560175955,1.522723643
South Asia,2.116497342,2.149796185,2.156921859,2.214934254,2.229380594,2.254792726,2.273567175,2.292556975,2.297416481,2.303218796,2.293340611,2.296542155,2.31421049,2.326613971,2.350773061,2.37245737,2.388318575,2.401192814,2.408675275,2.405791785,2.381596103,2.391787036,2.380457756,2.365887083,2.348232122,2.327808062,2.305460706,2.281131432,2.255446127,2.227614999,2.199706408,2.168853005,2.13560198,2.09888468,2.061094975,2.020813229,1.980032345,1.940739574,1.902438569,1.864234473,1.827516946,1.788412368,1.745399762,1.696857597,1.645738964,1.594120201,1.546370827,1.505233425,1.472448509,1.447872182,1.424480993,1.400238582,1.377519943,1.357967294,1.336820353
South Asia (IDA & IBRD),2.116497342,2.149796185,2.156921859,2.214934254,2.229380594,2.254792726,2.273567175,2.292556975,2.297416481,2.303218796,2.293340611,2.296542155,2.31421049,2.326613971,2.350773061,2.37245737,2.388318575,2.401192814,2.408675275,2.405791785,2.381596103,2.391787036,2.380457756,2.365887083,2.348232122,2.327808062,2.305460706,2.281131432,2.255446127,2.227614999,2.199706408,2.168853005,2.13560198,2.09888468,2.061094975,2.020813229,1.980032345,1.940739574,1.902438569,1.864234473,1.827516946,1.788412368,1.745399762,1.696857597,1.645738964,1.594120201,1.546370827,1.505233425,1.472448509,1.447872182,1.424480993,1.400238582,1.377519943,1.357967294,1.336820353
Sub-Saharan Africa,2.405602147,2.414284412,2.428296187,2.446322962,2.467630516,2.492383406,2.519366046,2.546575047,2.573132463,2.599425742,2.631345223,2.652176995,2.677776305,2.710212855,2.746026031,2.781058152,2.808864046,2.830537247,2.848780324,2.860681327,2.865790385,2.869841806,2.875139853,2.884018814,2.891722382,2.895923776,2.893131038,2.882677026,2.864060171,2.837900922,2.829606795,2.820547981,2.804806849,2.783011987,2.756695057,2.734400785,2.717751446,2.709653572,2.7136195,2.724735906,2.70361597,2.65514003,2.674430002,2.694573782,2.716837436,2.738555622,2.756443273,2.76901777,2.774361023,2.774659319,2.771676542,2.767997738,2.759617274,2.746904808,2.730896719
Sub-Saharan Africa (excluding high income),2.405520709,2.414234121,2.428269228,2.4463063,2.467616603,2.492377532,2.519371697,2.546592805,2.573163022,2.599470105,2.631405324,2.652250886,2.67786912,2.710330218,2.746171437,2.781224291,2.809058858,2.830759555,2.849028764,2.860953459,2.866082194,2.870150742,2.875461686,2.884349585,2.892057304,2.896257947,2.893458867,2.882992554,2.864358013,2.838175367,2.82984782,2.820757122,2.804984618,2.783158442,2.756811026,2.734562842,2.717947321,2.70974578,2.71371046,2.724962071,2.703933866,2.655090158,2.674875862,2.694923987,2.717085526,2.738630421,2.756685711,2.769071391,2.774611336,2.774653464,2.772227897,2.768171293,2.759708285,2.747007048,2.730998952
Sub-Saharan Africa (IDA & IBRD countries),2.405602147,2.414284412,2.428296187,2.446322962,2.467630516,2.492383406,2.519366046,2.546575047,2.573132463,2.599425742,2.631345223,2.652176995,2.677776305,2.710212855,2.746026031,2.781058152,2.808864046,2.830537247,2.848780324,2.860681327,2.865790385,2.869841806,2.875139853,2.884018814,2.891722382,2.895923776,2.893131038,2.882677026,2.864060171,2.837900922,2.829606795,2.820547981,2.804806849,2.783011987,2.756695057,2.734400785,2.717751446,2.709653572,2.7136195,2.724735906,2.70361597,2.65514003,2.674430002,2.694573782,2.716837436,2.738555622,2.756443273,2.76901777,2.774361023,2.774659319,2.771676542,2.767997738,2.759617274,2.746904808,2.730896719
