Country Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Middle East & North Africa (IDA & IBRD countries),1.986615421,2.000319073,2.116533205,2.180356186,2.073848436,2.15353996,2.406185927,2.452578692,2.404325255,2.413375024,2.277110381,2.33316934,2.38604766,2.484023619,2.883655535,2.674039179,2.666316001,2.946036225,3.113361581,3.195117055
Middle income,2.412678871,2.36362262,2.520242448,2.477042313,2.43762049,2.356948176,2.382038559,2.349752613,2.387242359,2.408815322,2.458108718,2.504454687,2.60902103,2.73939142,3.014234419,2.872383447,2.896995845,2.962450623,3.021264756,3.046736921
North America,5.938994896,5.907198654,5.845014468,5.71256593,5.645996433,5.683423459,6.092951705,6.429777137,6.624290735,6.699777867,6.722686909,6.874371534,7.005070493,7.338893628,8.005831943,8.060768597,8.033060722,8.002663479,7.998392667,8.197720774
OECD members,5.837047317,5.841498345,5.787359206,5.793233257,5.816090555,5.809017258,6.084877793,6.308109241,6.476244914,6.522930721,6.584750763,6.646100419,6.68397179,6.97570711,7.653295827,7.58452343,7.588942977,7.608825853,7.617928345,7.692358488
Other small states,3.116200718,3.224322602,3.216266769,3.450544585,3.380267205,3.080331494,3.159763089,3.374504999,3.668536324,3.488791995,3.28108097,3.027816988,2.968221955,2.75019805,3.271047004,2.934337826,2.74322401,2.926310097,2.99114702,2.916463762
Pacific island small states,4.089271454,3.644414077,3.8171409,3.801815827,3.794036075,4.478110937,4.430498553,4.327511678,4.223171686,4.262646193,4.517164031,4.531308472,4.42810272,4.253259024,4.770018013,4.858082923,4.239523762,4.210439148,4.497317273,4.57632822
Post-demographic dividend,5.923737903,5.937932599,5.892328743,5.914243707,5.932601223,5.939920697,6.217851161,6.445490047,6.611676409,6.657098828,6.744363003,6.812281987,6.853256687,7.145683267,7.822250526,7.781963316,7.795102793,7.812069609,7.833116299,7.914720128
Pre-demographic dividend,1.410676744,1.300913774,1.347156568,1.43327288,1.489741772,1.405822613,1.605338719,1.438588109,1.609784222,2.055879709,1.894072295,1.910214683,1.915208857,2.147427747,2.25671329,1.826936093,1.921276365,2.018579254,2.092089478,1.933374353
Small states,3.083441784,3.155744645,3.18509596,3.337760802,3.231472093,3.053471183,3.067515292,3.273958031,3.46788155,3.372045091,3.17828889,2.985242591,2.963611867,2.787731202,3.320674555,3.01892481,2.816008951,3.001125561,3.061103031,2.993088806
South Asia,1.03503164,0.99799026,1.037498811,1.070832413,1.081228019,1.067052311,1.042238308,1.032538376,0.973376678,1.018914387,1.103442311,1.103521575,1.09051214,1.151605829,1.205501388,1.181098088,1.181152879,1.19027209,1.28224814,1.367899172
South Asia (IDA & IBRD),1.03503164,0.99799026,1.037498811,1.070832413,1.081228019,1.067052311,1.042238308,1.032538376,0.973376678,1.018914387,1.103442311,1.103521575,1.09051214,1.151605829,1.205501388,1.181098088,1.181152879,1.19027209,1.28224814,1.367899172
Sub-Saharan Africa,2.449863298,2.516644595,2.494454088,2.437191306,2.374140004,2.271764359,2.36589666,2.179881571,2.392890886,2.48694164,2.485235818,2.510834419,2.462420569,2.512476631,2.71107721,2.48903738,2.624569905,2.543530054,2.4598089,2.314823041
Sub-Saharan Africa (excluding high income),2.447084114,2.513732415,2.490668403,2.433949374,2.370627245,2.269187752,2.363319605,2.177062415,2.390204828,2.484998793,2.483686953,2.509609703,2.461743681,2.512576224,2.71133,2.488515356,2.624163703,2.542635913,2.459070655,2.314178361
Sub-Saharan Africa (IDA & IBRD countries),2.449863298,2.516644595,2.494454088,2.437191306,2.374140004,2.271764359,2.36589666,2.179881571,2.392890886,2.48694164,2.485235818,2.510834419,2.462420569,2.512476631,2.71107721,2.48903738,2.624569905,2.543530054,2.4598089,2.314823041
Upper middle income,2.719154058,2.669179409,2.858816999,2.755691745,2.758388096,2.64226068,2.6614439,2.653640275,2.707245268,2.71322832,2.754573558,2.798324718,2.916842398,3.039129579,3.401348935,3.258324431,3.26052306,3.324736401,3.375957818,3.424686871
World,5.286303621,5.246769791,5.19680285,5.227929882,5.274912299,5.221119254,5.444044382,5.633904668,5.765420482,5.755465472,5.733553113,5.701873011,5.65229917,5.78265714,6.32094847,6.075446193,5.982564844,5.940788187,5.921679595,5.994028234
Albania,1.713004455,1.746197546,2.024509405,2.095127757,2.510171417,2.258417958,2.292224019,2.256325893,2.252104151,2.67940487,2.706455443,2.575136092,2.6291711,2.69389845,2.833575743,2.47656803,2.84917086,2.7357041,2.835984236,2.936373275
Algeria,2.673594356,2.50218252,2.553365736,2.527980384,2.383331292,2.55856124,2.97171746,2.85227361,2.802237023,2.566248072,2.280233074,2.334850671,2.705570791,3.062803893,3.83796598,3.593208526,3.775729308,4.52025089,5.188359049,5.24414553
Andorra,3.982683296,4.235647223,4.297070495,5.737580229,3.933465639,3.976548227,3.979763508,4.109589041,3.946179815,3.91626014,3.459708849,3.566122373,4.586322912,4.825070819,5.037537144,6.242026697,4.926289306,5.747039877,9.692356794,6.341446004
Angola,4.659118212,1.739781774,2.019219441,1.414705389,2.131797787,1.677216464,2.812403394,1.685217542,2.044369358,2.407840515,2.02464638,3.022435345,2.213764019,2.716334452,2.663917207,2.061254664,2.155094274,2.137316503,3.080408392,2.124912195
Antigua and Barbuda,2.746344563,2.505800464,2.597402599,2.672064777,2.744200045,2.78780548,2.949759953,2.950231444,2.950013005,2.67979353,2.950098595,2.950105874,2.949999996,3.343031386,3.343899596,3.893547142,3.891039559,3.652332634,3.592597393,3.784610676
Argentina,4.966443086,4.631641218,4.553044297,4.624211714,5.152315686,4.965803582,5.065933992,4.452940049,4.251023183,3.522396758,3.664233848,3.654868936,3.783074841,4.121097352,5.040785799,4.163482345,3.745392503,2.958950874,2.735022008,2.652673798
Armenia,1.996272562,1.621148073,1.407496163,1.644913074,1.612414885,1.137531999,1.591474622,1.361332463,1.516570269,1.404450704,1.905053401,2.052882053,2.099284998,1.764770313,2.010005376,1.922714063,1.938903536,1.875681541,1.946690997,1.925675667
Australia,4.775232585,4.856308024,5.016476282,5.084647809,5.326927409,5.399511666,5.42099866,5.620660145,5.50612734,5.724898889,5.661448484,5.660886591,5.765876395,5.927631008,6.186556011,6.127334253,6.315378278,6.285633269,6.274917139,6.316592658
Austria,7.137100143,7.096256981,7.356728588,7.478719544,7.648251788,7.536366526,7.503314227,7.606508348,7.736479762,7.791336459,7.83141883,7.737932786,7.775802592,7.995856889,8.466129609,8.400006947,8.213674723,8.417189562,8.370613437,8.72502572
Azerbaijan,1.391752578,1.485547019,1.228625713,0.903807033,0.985430464,0.866892751,0.84650113,0.791817883,0.82967797,1.028670036,0.880905375,0.86418436,0.980253879,0.824675486,1.33896972,1.168020723,1.080987674,1.210596594,1.150183905,1.230967479
"Bahamas, The",2.729658793,2.773621504,2.357290763,2.539504821,2.467818788,2.502547587,2.466895954,2.510665428,2.647886116,2.880435634,2.642189647,3.2726021,3.18150171,3.354877435,3.526524149,3.460815504,3.575056242,3.298249273,3.07695572,3.550672696
Bahrain,2.818546496,2.751513204,3.047721744,2.881320773,2.838727708,2.36241776,2.532878513,2.584323203,2.501123649,2.267809586,2.156522233,2.125250656,2.184567246,2.313058037,2.748444379,2.593379391,2.383532755,2.762662242,3.015994395,3.150500297
Bangladesh,1.199805247,1.031284124,0.968124768,0.935335098,0.935160149,0.946712407,1.024926461,1.067809827,0.975548071,1.042067184,0.966800142,1.038830186,0.987683698,0.953752469,0.991099631,1.05017299,1.041090103,0.984483722,0.810323956,0.786532509
Barbados,3.541707878,3.461739847,3.329952803,3.189417786,3.277842886,3.392050008,3.696644017,3.962990388,3.843278107,3.718071476,3.463278997,3.415845805,3.758300912,4.056312343,4.144961775,4.009928747,4.155989917,4.841513416,4.899894263,4.744632219
Belarus,4.793950729,4.696646664,5.427282394,4.588919064,4.715802069,4.626454599,4.739935352,4.560548727,4.865755487,4.922950998,5.022738287,4.450400123,4.451424325,3.871576451,3.895442402,4.314805544,3.472557647,3.8657579,4.022291167,3.741755251
Belgium,5.845320714,6.184037715,5.853458123,5.899438234,6.023602106,6.058374214,6.252814629,6.24450897,6.918096551,7.127857093,7.112748229,6.962370454,6.952936769,7.396754446,8.043822364,7.896702726,8.006737375,8.186298971,8.226719108,8.249989469
Belize,2.632365197,2.048040973,2.263610979,2.155696602,2.035489918,2.091697325,2.589422551,2.456541789,2.589394307,2.507171752,2.647951095,2.669250969,3.022312925,3.290674586,3.862427163,3.858381866,3.725604295,3.577743436,3.777130746,3.879657845
Benin,2.111729724,2.031550924,1.814422789,1.939795897,2.109912315,1.917526784,2.308263635,1.888670405,2.211266526,2.175232784,2.352479891,2.385750932,2.307085606,2.137696725,2.328624079,2.688570362,2.929009758,2.15409384,2.215456479,2.251196286
Bhutan,2.655671226,4.92248937,5.589715842,5.420760961,5.060485995,5.325051654,4.849893798,6.60698513,3.749019455,3.193554605,4.166375755,4.29057998,5.118893938,5.562408666,4.891295472,4.544794957,4.142893462,2.700860931,2.804824773,2.615039654
Bolivia,2.112215194,2.978225519,2.66726091,3.122442061,3.602860899,3.245343618,3.744167609,4.101807461,3.496278922,3.492276415,3.860740789,3.521340785,3.408827783,3.406843244,3.948226271,3.662996725,3.752141694,3.772366172,4.238349186,4.565377537
Bosnia and Herzegovina,3.350453159,4.802890013,3.499925576,3.329547245,4.730752629,4.032095716,4.312505733,4.422546498,5.478547872,5.173272164,4.865928659,4.979969839,5.334221943,5.812860562,6.803551255,6.788921332,6.923006484,7.080212274,6.629772276,6.813077082
Botswana,2.126873521,2.123124439,2.429731822,2.179257676,2.163569841,2.899852421,4.146457238,4.894689856,2.969796404,3.888095917,4.090479196,3.479114149,3.315711881,3.928321929,4.494537231,3.544461785,3.236016942,3.955382211,3.50694528,3.193884455
Brazil,2.800558403,2.700450075,2.874414942,2.796990013,2.952575034,2.832471845,3.040958916,3.182992293,3.080328175,3.323675591,3.43190885,3.492652092,3.455148229,3.61158219,3.841355649,3.786139623,3.654001986,3.66135204,3.827307012,3.831759885
Brunei Darussalam,2.294038745,3.016497992,3.01723691,3.717910886,3.183940482,2.59858883,2.576781266,2.567385408,2.593538693,2.522266585,2.215897148,1.929077942,2.03867096,2.015774515,2.591951691,2.520024437,2.066757971,2.112532457,2.407480899,2.485567877
Bulgaria,3.515523463,3.182541008,3.397999988,3.262490099,3.883886627,3.698274196,4.224389281,4.536791795,4.617962963,4.30515357,4.312971455,3.800812847,3.730705859,3.870316356,3.75184985,4.0342301,3.759655846,3.999818502,4.122861742,4.60763146
Burkina Faso,1.865861958,1.933787219,2.067886968,2.061326682,2.191443603,2.016915355,1.832448876,2.256686535,2.604252993,3.464384444,4.091775992,3.741064955,3.995721739,3.996973964,3.658379326,3.971179767,2.95514785,2.98036859,3.48939536,2.593973739
Burundi,1.34643228,1.494103417,1.130843622,1.247842204,1.238485735,1.404364464,1.634485911,1.55512254,1.345188237,2.544952098,2.937796431,3.528829336,3.7804362,3.355311709,3.093040181,5.499656744,5.401877297,4.930865336,4.396653053,3.973727557
Cabo Verde,4.252399745,3.940193488,3.862837242,3.92627046,3.424656164,3.524933122,3.913535684,3.893120524,3.746871642,3.789352549,3.649990513,3.962680293,3.386336456,3.03734974,3.239265323,3.431766845,3.335760259,3.33864148,3.120439872,3.557226753
Cambodia,1.123903304,2.642772374,2.055718532,1.356775567,1.184934454,1.340149618,1.30376831,1.520439279,2.416164271,2.392324118,1.618218744,1.235288574,1.321770862,1.111331229,1.312468532,1.440774999,1.33985553,1.503340698,1.397584709,1.251042011
Cameroon,0.900268714,0.893368284,0.978965995,0.784629614,0.833734824,0.932629186,1.129199277,1.290383204,1.331728012,1.129638122,1.120079177,1.076092314,1.065776207,1.049287334,1.28313286,1.507602276,1.331447157,1.066747097,1.012469674,0.938633691
Canada,6.3135005,6.112419053,6.033111823,6.228970762,6.107698328,6.098426758,6.364904681,6.514305746,6.694243643,6.719901986,6.723559526,6.788407823,6.893501359,7.063453852,7.914158212,7.88439634,7.676792501,7.651144554,7.575664928,7.411931884
Central African Republic,1.363974592,2.023371914,1.216183896,1.417099358,1.871718297,2.102146836,1.863889207,2.062251945,2.076811913,1.845115241,2.114689939,1.923990235,2.036722449,2.290508965,1.497162132,1.977146433,1.840226144,1.768029867,1.913359234,2.056942983
Chad,2.011375251,1.960913759,1.963588748,1.659397007,1.989841553,2.66748418,2.396482425,2.691863992,2.268320284,2.299355155,1.55797137,1.128978799,1.250251221,0.996604191,1.231522791,1.185137165,1.534874565,1.421939407,1.774692315,1.978950162
Chile,2.483034377,2.667579501,2.722896255,2.999279862,3.188783313,3.332061767,3.484542158,3.529890881,2.687549761,2.63814344,2.536291524,2.517617347,2.655656258,2.942588718,3.468102151,3.294925632,3.332639236,3.476164721,3.632821452,3.851309424
China,1.780381954,1.763716129,1.780656558,1.812075346,1.834942236,1.759843468,1.621284224,1.714672238,1.746529994,1.793429835,1.805920306,1.83853832,2.026592106,2.292123452,2.664482629,2.653820098,2.810652656,2.945813766,3.005601408,3.095174286
Colombia,3.720569816,5.067606606,5.593914054,6.103439101,6.459251592,4.683826864,4.690523841,4.549736058,4.899277437,4.082866764,4.316017077,4.535042305,4.539526519,4.698007256,5.148273784,4.975652938,5.016164698,5.277512194,5.218918366,5.409943154
Comoros,2.879786206,2.713949704,2.584925576,2.185036147,1.964426649,1.522723097,1.094675339,1.669758102,1.815474839,2.010438445,2.274051852,2.507151514,2.80299141,3.094532063,1.72121212,1.454408898,1.656759335,2.646604021,2.003193245,2.217320352
"Congo, Dem. Rep.",0.151469658,0.113020059,0.204867812,0.178185156,0.247696712,0.044703612,0.14417975,0.160080405,0.700026844,0.71835464,0.752462162,0.938991328,1.209434345,2.099872761,2.362979061,1.062595613,1.255268552,1.687173628,1.323441751,1.59835647
"Congo, Rep.",1.875942346,1.721611549,1.911836318,2.218401855,1.752764882,1.222592062,1.334532489,1.287959153,1.300179166,1.369675105,1.434608509,1.494032765,1.545764133,1.238592875,1.14114182,1.386578972,1.977375259,3.149421373,4.05731117,4.211920852
Costa Rica,4.981964417,5.065507246,4.838992757,5.637174061,5.362922535,5.61242476,5.485507511,6.283475992,6.450275287,5.653259257,5.465712059,5.397313924,5.627837325,6.261310673,7.022189965,7.092617051,7.149714006,7.000226946,6.914441165,6.76760152
Cote d'Ivoire,1.645869281,1.854107008,2.003289854,1.888813112,1.799667406,1.788035704,1.290257864,1.40860098,1.338333609,1.471674426,1.269719496,1.358403825,1.428213132,1.528626424,1.696810152,1.676172168,1.635696974,1.885045493,1.796587883,1.678538491
Croatia,5.830669763,6.135021776,4.893760696,5.733091768,6.326324594,6.602275063,5.96435491,4.955064171,5.242817131,5.314158705,5.930617257,5.984641875,6.477622756,6.538722948,7.006867431,7.064964214,6.25541215,6.363207061,6.403028794,6.388287591
Cuba,4.648496225,4.756708361,4.986951137,5.226020532,5.474999383,5.509533717,5.670491082,5.724849955,5.648789044,5.468185582,8.744448247,7.081250078,9.883198101,10.29335824,11.28391889,9.70382827,10.07101019,8.088255377,8.962294541,10.57366249
Cyprus,1.697054395,1.774813392,1.948338097,2.338116275,2.388126932,2.402830234,2.449259438,2.754518448,3.082626861,2.813460787,2.662677211,2.663821238,2.578040013,2.850825606,3.311472393,3.425307365,3.507635082,3.411603709,3.470791397,3.332019222
Czech Republic,6.084042522,5.812945806,5.779225055,5.803851213,5.744610454,5.702534921,5.764902754,6.149834668,6.404474042,6.15449697,6.054044375,5.805408814,5.556626261,5.628784423,6.569654028,6.22493667,6.314732469,6.341764994,6.313087853,6.264976383
Denmark,6.705344047,6.76753736,6.706312228,6.694654162,7.517019335,7.29518541,7.660538886,7.885050087,8.039900364,8.152818891,8.253254964,8.399549167,8.429011643,8.621214821,9.756125393,9.433817543,9.26885262,9.419660272,9.593210322,9.158734109
Djibouti,2.384148412,2.318293685,2.83292067,3.609757201,4.407148156,3.9005063,3.486380266,3.516449396,4.167696582,4.600888287,4.939467764,4.702732187,5.337600592,5.745632858,5.957206032,5.149939099,5.019683712,5.25888563,5.322417486,6.750847587
Dominica,4.159861137,4.217261905,4.370036617,4.155978162,4.149951581,3.308396479,3.23826402,3.290272803,3.173775978,2.974158082,3.019700001,3.094683051,3.077919779,2.96951027,3.652604682,4.047182569,3.974390093,3.669363884,3.812216844,3.767972854
Dominican Republic,1.155220766,1.2382753,1.48835433,1.798910828,2.00188919,2.192495065,1.925895905,2.008738541,1.820877367,1.388619252,1.485949047,1.781605827,1.992508761,2.051277828,2.245560221,2.263964847,2.604386077,2.701812259,2.623467358,2.927375648
Ecuador,1.881524423,2.204202458,1.987481393,1.400740525,1.375141632,0.896003183,1.228463152,1.428875973,1.425714581,1.429314418,1.309875442,1.423655771,1.5062409,1.630354665,2.186591275,2.459407624,2.597380991,2.957292999,3.858385301,4.508156573
"Egypt, Arab Rep.",1.646025042,1.620664666,1.785539455,1.969811265,2.1234134,2.246958395,2.327558282,2.403817061,2.068547965,1.985911495,1.985040988,2.287519277,2.046695736,2.029727197,2.058126846,1.872592845,1.990804136,1.909231327,2.057468101,2.155384501
El Salvador,2.456765433,3.106327227,3.204772995,3.68357541,3.651732934,3.796302763,3.753448667,3.805680221,3.750173665,3.635304196,3.812553094,4.153138804,3.744769646,3.706714781,4.133696927,4.29012069,4.327903341,4.210471154,4.632291908,4.469508324
Equatorial Guinea,3.883858135,2.732998091,2.251245641,3.055954265,1.922256608,2.166271678,1.335525197,1.111721515,1.52759716,1.352454624,0.913982114,1.467452066,1.640828358,1.795079572,4.461108402,3.057171112,2.596654331,3.325881938,2.961789903,2.932710442
Eritrea,2.171974402,1.321100351,1.770926971,1.85142628,1.996568895,1.588511165,1.386781377,1.640469343,1.291688995,1.236014558,1.095939139,1.470450528,1.490338129,1.931429607,1.397960224,1.424863559,1.40782257,1.383976464,1.37826626,1.527464004
Estonia,5.671494836,5.809624371,5.51790868,4.797024971,4.536437438,4.075514834,3.817487064,3.735725858,3.775009168,3.877117683,3.850041558,3.673549212,3.899242751,4.712423412,5.216716763,4.9273468,4.625885477,5.115761648,5.138603368,5.028395902
Ethiopia,1.201089905,1.113331724,1.308283107,1.634136008,1.842742815,2.382655413,2.230818205,2.550281355,2.556368908,2.37364068,2.580334349,2.529405628,2.571477099,2.221322189,2.421519695,3.716736035,3.735155728,3.310595126,2.953637718,2.86756675
Fiji,2.463687222,2.643610757,2.892407143,2.604433613,2.50533762,3.235571156,2.628178355,2.854488193,2.700264758,2.88766334,2.936055816,3.012361986,2.791982601,2.780329042,2.953906158,2.965205936,2.677144195,2.762148643,2.902243871,2.95320811
Finland,5.627186976,5.753535627,5.563132051,5.326593103,5.268778054,5.144464163,5.343613088,5.657160032,5.932232518,6.017266103,6.221865474,6.27918843,6.031731023,6.253821943,6.896822789,6.73883183,6.753551156,7.040839875,7.204016684,7.289814273
France,8.058218715,8.042808693,7.944487319,7.844248058,7.831247748,7.759499573,7.848666574,8.141653894,8.127820878,8.20640927,8.266337172,8.173183403,8.118287794,8.16933746,8.74652319,8.679104958,8.731135954,8.826051795,8.910694046,9.024514376
Gabon,1.257445299,1.28647559,1.192176302,1.731343904,1.213987698,1.154856156,1.285837405,1.207290008,1.467581307,1.36059829,1.114980978,1.235086135,1.266978066,1.076241407,1.548099648,2.44092455,2.103287948,2.210201203,2.931829623,2.350580925
"Gambia, The",1.041104569,0.896204512,0.921290897,1.194823096,1.25261532,1.234866709,1.55374665,1.407356893,2.123974878,2.514850239,2.897599008,3.244630936,3.40312534,3.527012899,3.482328264,3.433086876,3.735121027,3.672212762,4.181628453,5.045612515
Georgia,0.267281215,0.874215804,1.491279099,1.195657068,1.140527412,1.180608888,1.388194366,1.400350039,1.25729464,1.307242467,1.648504578,1.771662102,1.449623425,1.779974412,2.270258573,2.289929133,1.700624384,1.210348913,1.276120238,1.552730538
Germany,7.678673477,8.117369547,8.08569888,8.040406659,8.012330015,7.998752643,8.03376379,8.181587749,8.289385968,7.919819258,8.006701839,7.85851875,7.732519511,7.901738662,8.709862289,8.575730796,8.307622306,8.361114536,8.569493975,8.697237324
Ghana,1.622871382,2.018927102,1.435605533,1.772753783,1.593377538,1.498094341,2.045003688,1.508850229,1.580562376,2.399043819,2.923944957,3.044228156,3.729887891,3.223054494,3.674963362,3.829376748,3.575520486,3.140675827,3.242160133,2.128885085
Greece,4.301359499,4.325647391,4.232331,4.118547753,4.34042636,4.5622111,5.146070341,5.055646368,5.14686853,4.90873744,5.627319096,5.790832345,5.677828365,5.84985855,6.781079862,6.216353748,6.682802397,6.274430226,6.066287526,4.985039193
Grenada,3.006434316,3.016742923,3.157869167,3.151488805,3.707319241,3.446999326,4.513238797,3.524549877,3.055066908,2.700563891,2.918936395,3.208181759,2.897890968,2.691541613,3.073334628,3.100526247,3.040190628,3.045941945,2.782444268,2.827357413
Guatemala,1.568251834,1.474088811,1.652352634,1.687897756,1.822568317,1.906287984,2.165382542,2.126950411,2.250780088,2.18862221,2.151933847,2.389327876,2.26818626,2.319787972,2.516993404,2.375496937,2.15314798,2.14774653,2.321889304,2.334729015
Guinea,1.24440635,0.769224234,0.753971712,0.948582871,1.034078996,1.095939452,1.27041596,1.313300227,1.313311747,0.879682253,0.554865842,0.66542757,0.418226466,0.784624403,1.346498634,2.011768888,1.977158975,2.098946177,2.378242841,2.736244781
