Agent_ID,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,Site,Function_Field,tenure,Total number of calls,Assistance,Recommend,CSat,total coaching,total coaching improved,Actual Value,FCR Week before
362641,100,100,92.59259259,100,95.46430488,91.30434783,88.88888889,Kuala Lumpur,Agent,12,117,97.43589744,95.68965517,4.854700855,0,0,100,96
385080,92.84848485,90.90909091,92.84848485,90,83.33333333,100,100,Kuala Lumpur,Agent,12,74,94.52054795,94.02985075,4.810810811,2,1,100,100
388627,95.45454545,100,100,98.00785634,100,92.59259259,100,Kuala Lumpur,Agent,11,131,97.69230769,95.3125,4.839694656,1,0,94.44,96.15
358739,92.85714286,92.30769231,85.71428571,93.91303141,94.87179487,100,97.72727273,Kuala Lumpur,Agent,11,174,94.67455621,95.09202454,4.810344828,0,0,100,91.89
377533,100,93.5483871,95.28154059,95.34883721,91.83673469,95.83333333,95.12195122,Kuala Lumpur,Agent,10,224,95.98214286,96.24413146,4.834821429,3,2,97.56,100
385994,91.66666667,94.11764706,96.72055347,97.87234043,100,96.66666667,100,Kuala Lumpur,Agent,10,217,97.6635514,95.6097561,4.875576037,0,0,95.45,89.66
362003,97.80058651,93.5483871,97.80058651,100,100,95.45454545,100,Kuala Lumpur,Agent,10,131,96.15384615,96.12403101,4.885496183,1,1,100,96.43
360406,96,100,97.98529981,97.98529981,100,98.18181818,95.74468085,Kuala Lumpur,Agent,10,229,99.12663755,97.74774775,4.864628821,2,1,100,90.91
377791,98.18181818,100,95.65217391,97.96223101,100,93.93939394,100,Kuala Lumpur,Agent,10,233,96.1038961,97.30941704,4.896995708,4,2,95.83,97.44
355608,97.33333333,100,98.03921569,97.61601224,96.36363636,95.52238806,98.4375,Kuala Lumpur,Agent,10,322,96.57320872,97.10610932,4.875776398,1,1,96.15,95.83
373435,96.875,93.33333333,95.61288106,95.61288106,96.55172414,100,91.30434783,Kuala Lumpur,Agent,10,122,100,96.63865546,4.795081967,1,0,100,100
355175,95.23809524,100,95.83333333,96.92460317,100,95.23809524,95.23809524,Kuala Lumpur,Agent,9,193,95.28795812,97.88359788,4.808290155,1,1,100,100
383173,100,100,100,100,100,100,100,Kuala Lumpur,Agent,9,64,96.82539683,96.61016949,4.703125,0,0,100,100
358226,81.25,100,100,93.2630289,94.11764706,84.21052632,100,Kuala Lumpur,Agent,9,87,89.65517241,90.58823529,4.413793103,1,1,85.71,94.44
361809,96.96969697,88.88888889,90.625,92.12760619,84.61538462,97.22222222,94.44444444,Kuala Lumpur,Agent,9,167,92.12121212,94.83870968,4.826347305,1,0,100,89.66
388269,93.18181818,93.5483871,95.45253227,95.45253227,95.12195122,97.2972973,98.11320755,Kuala Lumpur,Agent,8,206,98.53658537,95.43147208,4.883495146,3,3,100,89.66
359652,87.5,100,100,91.8482906,76.92307692,86.66666667,100,Kuala Lumpur,Agent,8,80,93.67088608,92,4.6125,1,1,100,94.74
384442,93.75,100,95.98345822,97.56097561,94.87179487,91.89189189,97.82608696,Kuala Lumpur,Agent,8,200,96.96969697,94.89795918,4.715,4,3,96.15,100
353804,91.42857143,94.73684211,95.94276013,95.94276013,93.5483871,100,100,Kuala Lumpur,Agent,8,139,96.32352941,98.4496124,4.820143885,7,4,100,94.12
383455,100,97.22222222,96.99401612,91.17647059,97.6744186,97.77777778,98.11320755,Kuala Lumpur,Agent,8,220,95.41284404,97.19626168,4.727272727,3,1,83.33,100
356533,95.70421826,93.02325581,95.70421826,94.28571429,96.66666667,94.54545455,100,Kuala Lumpur,Agent,7,245,94.19087137,97.81659389,4.87755102,1,1,96.88,97.62
380856,98.46153846,98.52941176,97.57035122,97.57035122,98.71794872,97.14285714,95,Kuala Lumpur,Agent,7,361,96.64804469,96.59090909,4.858725762,3,2,97.22,98.46
362423,95.23809524,88.88888889,100,85.71428571,95,81.25,100,Kuala Lumpur,Agent,7,101,95,95.83333333,4.603960396,0,0,100,100
366903,100,92.30769231,96.59156904,93.18181818,98,98.5915493,97.46835443,Kuala Lumpur,Agent,7,315,97.74919614,95.75163399,4.774603175,1,0,95.35,100
386170,96.55172414,90,96.2962963,95.53527613,94,100,96.36363636,Kuala Lumpur,Agent,7,253,98.00796813,95.81589958,4.885375494,1,1,92.86,96.88
375998,91.83673469,94.44444444,94.99628477,100,100,90.47619048,93.22033898,Kuala Lumpur,Agent,7,260,96.49805447,94.35483871,4.784615385,0,0,100,100
363513,96.04166667,94.44444444,96.04166667,96.875,100,88.88888889,100,Kuala Lumpur,Agent,7,75,92,94.59459459,4.733333333,3,0,100,96.55
360836,92.71927223,94.87179487,92.71927223,93.47826087,82.14285714,100,93.10344828,Kuala Lumpur,Agent,7,180,92.77777778,93.49112426,4.7,4,3,92.86,82.35
367797,94.70964144,96.55172414,94.70964144,95.55555556,96.15384615,93.18181818,92.10526316,Kuala Lumpur,Agent,7,182,94.44444444,95.45454545,4.741758242,3,3,100,94.44
354654,96.158553,98,96.158553,92.68292683,96.55172414,98.24561404,95.3125,Kuala Lumpur,Agent,7,241,96.20253165,94.7826087,4.717842324,2,0,97.37,92.31
382952,92,100,100,94.55555556,92,100,83.33333333,Kuala Lumpur,Agent,7,109,93.57798165,95.37037037,4.669724771,2,1,92.86,96.55
386352,93.75,95.3125,95.83349413,95.83349413,95.12195122,98.7804878,96.20253165,Kuala Lumpur,Agent,7,371,96.99453552,94.98607242,4.921832884,1,0,100,94.44
378385,88,92,93.40890688,93.40890688,92.30769231,94.73684211,100,Kuala Lumpur,Agent,7,120,94.11764706,91.45299145,4.766666667,0,0,100,95.24
358926,96.15384615,97.75207249,95.23809524,97.75207249,100,97.36842105,100,Kuala Lumpur,Agent,7,123,96.74796748,93.38842975,4.780487805,2,1,100,100
367762,94.44444444,97.05882353,95.65217391,89.65517241,90.90909091,100,100,Kuala Lumpur,Agent,7,141,94.89051095,95.38461538,4.865248227,0,0,100,96.3
375329,94.11764706,91.66666667,83.33333333,90.62013694,100,85.71428571,88.88888889,Kuala Lumpur,Agent,6,78,93.58974359,94.66666667,4.769230769,3,2,100,87.5
374458,95,91.30124521,100,91.30124521,77.77777778,90.625,93.10344828,Kuala Lumpur,Agent,6,114,94.69026549,95.45454545,4.640350877,1,1,100,93.75
354857,100,100,100,100,100,84,100,Kuala Lumpur,Agent,6,155,95.48387097,94.66666667,4.870967742,1,1,100,97.83
363616,98.14814815,96.15384615,97.51652534,97.51652534,97.82608696,95.45454545,100,Kuala Lumpur,Agent,6,240,95.81589958,93.91304348,4.883333333,1,1,100,95.24
382506,92.45283019,93.25309054,95.45454545,97.56097561,91.66666667,93.25309054,89.13043478,Kuala Lumpur,Agent,6,244,93.00411523,92.01680672,4.852459016,4,3,100,93.1
354474,95.65217391,97.05882353,94.31773884,98.30508475,89.47368421,91.66666667,93.75,Kuala Lumpur,Agent,6,250,95.951417,94.62809917,4.792,0,0,90,89.19
357637,87.22943723,86.66666667,87.22943723,92.85714286,90.90909091,80,85.71428571,Santiago,Agent,6,52,98,91.83673469,4.961538462,4,3,93.33,85.71
374085,85.29411765,84.74400871,80.55555556,84.74400871,81.48148148,88.88888889,87.5,Santiago,Agent,3,268,96.15384615,87.16216216,4.833333333,9,2,83.33,85.71
