FISCAL_YEAR,FISCAL_PERIOD,DEPT_NAME,DIV_NAME,MERCHANT,CAT_DESCR,TRANS_DT,MERCHANDISE_AMT
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RAGLAN ROAD,EATING PLACES RESTAURANTS,6/29/2014,39.02
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,RPS SALISBURY,AUTOMOBILE PARKING LOTS AND GARAGES,6/29/2014,80
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/29/2014,10.29
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,6/29/2014,6.08
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,UPS*000021X956,FREIGHT CARRIER TRUCKING-LCL-LNG DIST MVG-STORAGE,6/29/2014,7.75
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AMERICAN AI 0010269385701,AIRLINE,6/29/2014,25
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,BURRITO BEACH #7,EATING PLACES RESTAURANTS,6/29/2014,7.94
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,CVS PHARMACY #3210 Q03,DRUG STORES PHARMACIES,6/29/2014,3.34
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LUXOR BACKSTAGE DELI,EATING PLACES RESTAURANTS,6/29/2014,16.2
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LUXOR HOTEL/CASINO,LODGING,6/29/2014,165.76
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 SAN RC F/B,LODGING,6/29/2014,4.87
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,6/29/2014,7.99
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,WESTIN SWAN DINING,EATING PLACES RESTAURANTS,6/29/2014,8.52
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,CAPITAL GRILLE00080366,EATING PLACES RESTAURANTS,6/29/2014,78.15
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/29/2014,19.54
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/29/2014,7.28
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,CEA,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,325
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,2GRGA WRLD CGR12924304,FAST FOOD RESTAURANTS,6/30/2014,11.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ARAMARK TURNER FIELD,FAST FOOD RESTAURANTS,6/30/2014,24.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DUNKIN #300417 Q35,FAST FOOD RESTAURANTS,6/30/2014,7.71
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FOGO DE CHAO BOSTON,EATING PLACES RESTAURANTS,6/30/2014,50
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FRESH ATTRACTI10154607,FAST FOOD RESTAURANTS,6/30/2014,12.85
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,6/30/2014,6.9
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,6/30/2014,6.48
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,NASP - PO BOX,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,199
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,21.07
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,6.97
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,SOUTHWES 5262427465337,AIRLINE,6/30/2014,418
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WESTIN SWAN,LODGING,6/30/2014,1006.9
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WESTIN SWAN,LODGING,6/30/2014,7.99
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,AUNTIE ANNE'S,FAST FOOD RESTAURANTS,6/30/2014,8.1
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,CONVENTION CENTER STORE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,6/30/2014,9.87
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,COSMOPOLITAN HOLSTEIN'S,EATING PLACES RESTAURANTS,6/30/2014,22.63
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PHILLY AIR AUBONPAIN 2,FAST FOOD RESTAURANTS,6/30/2014,10.97
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ROSIE'S ALL-AMERICA,FAST FOOD RESTAURANTS,6/30/2014,12.34
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,16.79
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,SHERATON DOLPHIN DINING,EATING PLACES RESTAURANTS,6/30/2014,8.7
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USAIRWAYS 0372363730756,AIRLINE,6/30/2014,25
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,YELLOW CAB OF SAN ANTO,TRAVEL,6/30/2014,28.36
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,CEA,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,6/30/2014,325
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/30/2014,11
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,6/30/2014,4.13
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,RANDOLPH TAVERN,EATING PLACES RESTAURANTS,6/30/2014,45.68
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MARRIOTT 337J4 S ANTON RC,LODGING,7/1/2014,1218.9
2015,1,DEPT OF EDUCATION,ADVISORY COUNCIL,OFFICEMAX CT*IN#854733,OFFICE SCHOOL SUPPLY AND STATIONERY STORES,7/1/2014,68.56
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,7/1/2014,250
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,7/1/2014,482
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,7/1/2014,29
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT RIVERBEND GRILL,LODGING,7/1/2014,21.76
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TRAVEL TRADERS 0204,GIFT CARD NOVELTY AND SOUVENIR SHOPS,7/1/2014,8.44
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372363962891,AIRLINE,7/1/2014,25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,7/1/2014,148.36
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,COSMOPOLITAN BUFFET WSB,EATING PLACES RESTAURANTS,7/1/2014,41.08
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,PARADISO 37,EATING PLACES RESTAURANTS,7/1/2014,28.14
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,GIBSONS ROSEMONT,EATING PLACES RESTAURANTS,7/1/2014,59.72
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE F AND B,EATING PLACES RESTAURANTS,7/1/2014,20.33
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,7/2/2014,420.42
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,7/2/2014,420.42
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HILTON HOTELS CAPITAL,LODGING,7/2/2014,182.06
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HILTON HOTELS CAPITAL,LODGING,7/2/2014,47.2
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY F AND B,LODGING,7/2/2014,6.9
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MARQUI,LODGING,7/2/2014,219.24
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MARQUI,LODGING,7/2/2014,876.96
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MRQ FB,LODGING,7/2/2014,22
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PA ASSN FOR COLLEGE ADMIS,ORGANIZATIONS MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,7/2/2014,45
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PAYPAL *PEACH FEST,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,7/2/2014,125
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,FOOD COURT,GIFT CARD NOVELTY AND SOUVENIR SHOPS,7/2/2014,13.46
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,FRONTIER AI 4222606139383,AIRLINE,7/2/2014,20
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,MB CITIZENS,EATING PLACES RESTAURANTS,7/2/2014,14.06
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,ROMANO S GRILL10158400,EATING PLACES RESTAURANTS,7/2/2014,21.1
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,WESTIN SWAN,LODGING,7/2/2014,999.04
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,7/2/2014,-28.03
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,7/2/2014,363.64
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,OHARE BAR AND GR20258539,EATING PLACES RESTAURANTS,7/2/2014,19.56
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,PPA PHILADELPHIA AIRPORT,AUTOMOBILE PARKING LOTS AND GARAGES,7/2/2014,55
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 0270,TRAVEL,7/3/2014,27.05
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOLRTREE 1563 00015636,VARIETY STORES,7/3/2014,219
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,GRANARY TAVERN,EATING PLACES RESTAURANTS,7/3/2014,21.99
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33790 ATL MARQUI,LODGING,7/3/2014,438.48
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT CHAMPIONS,LODGING,7/3/2014,23.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,7/3/2014,54
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PMI BWI AIRPORT PARKNG,AUTOMOBILE PARKING LOTS AND GARAGES,7/3/2014,55
2015,1,DEPT OF EDUCATION,SPECIAL NEEDS PROGRAMS,HYATT HOTELS O'HARE,LODGING,7/3/2014,168.37
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850653015005,TRAVEL,7/4/2014,185
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850653015013,TRAVEL,7/4/2014,-21
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850710066314,TRAVEL,7/4/2014,83
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMTRAK .COM 1850726055780,TRAVEL,7/4/2014,15
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,FAMILY DOLLAR #1766,VARIETY STORES,7/4/2014,5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY PL,LODGING,7/4/2014,1229.16
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY PL,LODGING,7/4/2014,1229.16
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARRIOTT 33787 COPLEY PL,LODGING,7/4/2014,24
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LAS VEGAS SUPERSHUTTLE,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,7/5/2014,-11.8
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,LAS VEGAS SUPERSHUTTLE,TRANSPORTATION SERVICES NOT ELSEWHERE CLASSIFIED,7/5/2014,14.8
2015,1,DEPT OF EDUCATION,EDUCATION BLOCK GRANTS,USAIRWAYS 0372364394873,AIRLINE,7/5/2014,25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,7/6/2014,11.91
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,7/6/2014,2.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,7/6/2014,5.03
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BOS TAXI 0824,TRAVEL,7/7/2014,45.9
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAFFE GELATO,EATING PLACES RESTAURANTS,7/7/2014,200
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CAMBRIDGE 1,EATING PLACES RESTAURANTS,7/7/2014,30.5
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CHICK-FIL-A #02193,FAST FOOD RESTAURANTS,7/7/2014,13.76
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,7/7/2014,8.25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LE'S RESTAURANT,EATING PLACES RESTAURANTS,7/7/2014,14.29
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,LIAISON HOTEL Q96,AUTOMOBILE PARKING LOTS AND GARAGES,7/7/2014,14
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,MARIA MIA MEXICAN BISTRO,EATING PLACES RESTAURANTS,7/7/2014,15.01
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,ROYAL FARMS #163,SERVICE STATIONS WITH OR WITHOUT ANCILLARY SERVICE,7/7/2014,7.02
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,TANJORE,EATING PLACES RESTAURANTS,7/7/2014,30.59
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,7/7/2014,-9.99
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,7/7/2014,14.99
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,THE LIAISON CAPITOL HILL,LODGING,7/7/2014,192.05
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,7/7/2014,19.47
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,VILLA PIZZA B - PHILLY,FAST FOOD RESTAURANTS,7/7/2014,7.11
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WEST WING CAFE III,FAST FOOD RESTAURANTS,7/7/2014,11.3
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WEST WING CAFE III,FAST FOOD RESTAURANTS,7/7/2014,9.88
2015,1,DEPT OF EDUCATION,ADVISORY COUNCIL,XEROX CORPORATION/RBO,OFFICE PHOTOGRAPHIC PHOTOCOPY MICROFILM EQUIPMT,7/8/2014,195.21
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,7/8/2014,-179
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,AMAZON.COM,BOOK STORES,7/8/2014,-179
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BVS FOOD AND BEV,EATING PLACES RESTAURANTS,7/8/2014,12.78
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DD/BR 349240 Q35,FAST FOOD RESTAURANTS,7/8/2014,7.19
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,DOLRTREE 4195 00041954,VARIETY STORES,7/8/2014,81
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,HYATT GRAND CONV CTR F AND B,EATING PLACES RESTAURANTS,7/8/2014,13.3
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,PENSKE TRK LSG 044610,CAR RENTAL,7/8/2014,91
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,STAPLS7120506640000001,STATIONERY-OFFICE SUPPLIES-PRINTING WRITING PAP,7/8/2014,146.86
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USAIRWAYS 0372364766191,AIRLINE,7/8/2014,25
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,USPS 09082005335430727,POSTAL SERVICES-GOVERNMENT ONLY,7/8/2014,12.98
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WAGAMAMA INC.,EATING PLACES RESTAURANTS,7/8/2014,16.64
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WAL-MART #1736,GROCERY STORES SUPERMARKETS,7/8/2014,174.87
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,WWW.CSIET.ORG,ORGANIZATIONS CHARITABLE AND SOCIAL SERVICES,7/8/2014,550
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,7/9/2014,241
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,BAL*TITLEI.ORG,MISCELLANEOUS GENERAL MERCHANDISE,7/9/2014,250
2015,1,DEPT OF EDUCATION,DEPARTMENT OF EDUCATION,CREATESPACE,MISCELLANEOUS PUBLISHING AND PRINTING,7/9/2014,29.99
