label	message	length	punct
ham	Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 	189	7
ham	K tell me anything about you.	29	1
ham	For fear of fainting with the of all that housework you just did? Quick have a cuppa	84	1
spam	Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged	158	2
ham	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am	122	6
ham	Oops, I'll let you know when my roommate's done	47	3
ham	I see the letter B on my car	28	0
ham	Anything lor... U decide...	27	6
ham	Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!	155	7
ham	Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola	82	3
ham	Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy	142	15
spam	07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow	172	5
ham	WHO ARE YOU SEEING?	19	1
ham	Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...	72	10
ham	No calls..messages..missed calls	32	4
ham	Didn't you get hep b immunisation in nigeria.	45	2
ham	Fair enough, anything going on?	31	2
ham	Yeah hopefully, if tyler can't do it I could maybe ask around a bit	67	2
ham	U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.	148	7
ham	What you thinked about me. First time you saw me in class.	58	2
ham	A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;	124	11
ham	K fyi x has a ride early tomorrow morning but he's crashing at our place tonight	80	1
ham	"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."	289	14
spam	SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV	120	5
ham	Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;	76	6
spam	Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 	161	12
ham	Sorry, I'll call later in meeting.	34	3
ham	Tell where you reached	22	0
ham	Yes..gauti and sehwag out of odi series.	40	3
ham	Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.	108	5
ham	Ha ha ha good joke. Girls are situation seekers.	48	2
ham	Its a part of checking IQ	25	0
ham	Sorry my roommates took forever, it ok if I come by now?	56	2
ham	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.	110	2
spam	As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589	152	3
ham	"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."	122	8
spam	Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ	159	10
spam	"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"	78	5
ham	I plane to give on this month end.	34	1
ham	Wah lucky man... Then can save money... Hee...	46	9
ham	Finished class where are you.	29	1
ham	HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX	45	1
ham	K..k:)where are you?how did you performed?	42	6
ham	U can call me now...	20	3
ham	I am waiting machan. Call me once you free.	43	2
ham	Thats cool. i am a gentleman and will treat you with dignity and respect.	73	2
ham	I like you peoples very much:) but am very shy pa.	50	3
ham	Does not operate after  &lt;#&gt;  or what	42	5
ham	Its not the same here. Still looking for a job. How much do Ta's earn there.	76	4
ham	Sorry, I'll call later	22	2
ham	K. Did you call me just now ah? 	32	2
ham	Ok i am on the way to home hi hi	32	0
ham	You will be in the place of that man	36	0
ham	Yup next stop.	14	1
ham	I call you later, don't have network. If urgnt, sms me.	55	5
ham	For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.	121	4
ham	Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.	144	4
ham	I'm really not up to it still tonight babe	42	1
ham	Ela kano.,il download, come wen ur free..	41	5
ham	Yeah do! Don‘t stand to close tho- you‘ll catch something!	58	3
ham	Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 	195	5
ham	Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!	141	2
spam	Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!	137	2
ham	Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?	107	3
spam	"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"	158	8
ham	Watching telugu movie..wat abt u?	33	3
ham	i see. When we finish we have loads of loans to pay	51	1
ham	"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""	178	7
ham	I see a cup of coffee animation	31	0
ham	Please don't text me anymore. I have nothing else to say.	57	3
ham	Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx	81	2
ham	I'm still looking for a car to buy. And have not gone 4the driving test yet.	76	3
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	160	6
ham	wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.	183	8
ham	Umma my life and vava umma love you lot dear	44	0
ham	Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.	95	2
ham	Aight, I'll hit you up when I get some cash	43	2
ham	How would my ip address test that considering my computer isn't a minecraft server	82	1
ham	I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...	115	6
ham	Dont worry. I guess he's busy.	30	3
ham	What is the plural of the noun research?	40	1
ham	Going for dinner.msg you after.	31	2
ham	I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.	96	4
spam	GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm	158	6
ham	Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?	143	15
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.	156	13
spam	You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 	152	7
ham	Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 	72	4
ham	Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.	86	6
spam	PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires	144	3
spam	URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM	156	6
ham	here is my new address -apples&pairs&all that malarky	53	3
spam	Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app	156	2
ham	I am going to sao mu today. Will be done only at 12 	52	1
ham	Ü predict wat time ü'll finish buying?	38	2
ham	Good stuff, will do.	20	2
ham	Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.	244	9
ham	Are you there in room.	22	1
ham	HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx	107	4
ham	K..k:)how much does it cost?	28	5
ham	I'm home.	9	2
ham	Dear, will call Tmorrow.pls accomodate.	39	3
ham	First answer my question.	25	1
spam	Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone	125	5
spam	Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p	162	8
ham	I only haf msn. It's yijue@hotmail.com	38	4
ham	He is there. You call and meet him	34	1
ham	No no. I will check all rooms befor activities	46	1
spam	You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again	155	4
ham	Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...	85	12
ham	K, text me when you're on the way	33	2
ham	Sir, Waiting for your mail.	27	2
ham	"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8"	156	9
ham	I know you are. Can you pls open the back?	42	2
ham	Yes see ya not on the dot	25	0
ham	Whats the staff name who is taking class for us?	48	1
spam	FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end	159	7
ham	Ummma.will call after check in.our life will begin from qatar so pls pray very hard.	84	3
ham	K..i deleted my contact that why?	33	3
ham	Sindu got job in birla soft ..	30	2
ham	The wine is flowing and i'm i have nevering..	45	3
ham	Yup i thk cine is better cos no need 2 go down 2 plaza mah.	59	1
ham	Ok... Ur typical reply...	25	6
ham	As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune	160	6
ham	You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.	384	16
ham	Aaooooright are you at work?	28	1
ham	I'm leaving my house now...	27	4
ham	Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?	157	8
spam	Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery	124	2
spam	You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810	145	3
ham	Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life	115	1
ham	New car and house for my parents.:)i have only new job in hand:)	64	5
ham	I'm so in love with you. I'm excited each day i spend with you. You make me so happy.	85	5
spam	-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468	152	13
spam	BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu	155	6
ham	I place all ur points on e cultures module already.	51	1
spam	URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only	156	5
ham	Hi frnd, which is best way to avoid missunderstding wit our beloved one's?	74	3
ham	Great escape. I fancy the bridge but needs her lager. See you tomo 	67	2
ham	Yes :)it completely in out of form:)clark also utter waste.	59	5
ham	Sir, I need AXIS BANK account no and bank address.	50	2
ham	Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 	94	12
ham	What time you coming down later? 	33	1
ham	Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... 	105	6
ham	Well, i'm gonna finish my bath now. Have a good...fine night.	61	7
ham	Let me know when you've got the money so carlos can make the call	65	1
ham	U still going to the mall?	26	1
ham	Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth	146	14
ham	Text her. If she doesnt reply let me know so i can have her log in	66	1
ham	Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.	126	5
ham	You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend	159	3
ham	Lol no. U can trust me.	23	2
ham	ok. I am a gentleman and will treat you with dignity and respect.	65	2
ham	He will, you guys close?	24	2
ham	Going on nothing great.bye	26	1
ham	Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?	152	7
ham	Haha awesome, be there in a minute	34	1
spam	Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!	147	2
ham	Have you got Xmas radio times. If not i will get it now	55	1
ham	I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...	88	5
spam	Are you unique enough? Find out from 30th August. www.areyouunique.co.uk	72	5
ham	I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|	185	8
ham	Hi :)finally i completed the course:)	37	4
ham	It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.	111	2
ham	How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day	92	3
ham	Gud mrng dear hav a nice day	28	0
ham	Did u got that persons story	28	0
ham	is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 	64	2
ham	Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx	131	5
ham	Found it, ENC  &lt;#&gt; , where you at?	40	8
ham	I sent you  &lt;#&gt;  bucks	28	5
ham	Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx	84	0
ham	Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .	174	16
ham	Goodmorning sleeping ga.	24	1
ham	U call me alter at 11 ok.	25	1
ham	Ü say until like dat i dun buy ericsson oso cannot oredi lar...	63	3
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.	156	13
ham	Aight yo, dats straight dogg	28	1
ham	You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill	86	4
ham	Both :) i shoot big loads so get ready!	39	3
ham	What's up bruv, hope you had a great break. Do have a rewarding semester.	73	4
ham	Home so we can always chat	26	0
ham	K:)k:)good:)study well.	23	7
ham	Yup... How ü noe leh...	23	6
ham	Sounds great! Are you home now?	31	2
ham	Finally the match heading towards draw as your prediction.	58	1
ham	Tired. I haven't slept well the past few nights.	48	3
ham	Easy ah?sen got selected means its good..	41	3
ham	I have to take exam with march 3	32	0
ham	Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.	159	5
ham	Ok no prob. Take ur time.	25	2
ham	There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..	161	5
ham	Sorry, I'll call later	22	2
ham	U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.	119	6
spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18	142	11
ham	Would really appreciate if you call me. Just need someone to talk to.	69	2
spam	Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES	137	6
ham	Hey company elama po mudyadhu.	30	1
ham	Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .	165	12
ham	Dear good morning now only i am up	34	0
ham	Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.	109	7
ham	Dear we are going to our rubber place	37	0
ham	Sorry battery died, yeah I'm here	33	2
ham	Yes:)here tv is always available in work place..	48	4
spam	Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence	157	8
ham	I have printed it oh. So  &lt;#&gt;  come upstairs	50	6
ham	Or ill be a little closer like at the bus stop on the same street	65	0
ham	Where are you?when wil you reach here?	38	2
ham	New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!	145	14
spam	U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597	145	3
ham	Tomarrow final hearing on my laptop case so i cant.	51	1
ham	PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx	45	0
ham	Okay. No no, just shining on. That was meant to be signing, but that sounds better.	83	5
ham	Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...	155	9
ham	U don't remember that old commercial?	37	2
ham	Too late. I said i have the website. I didn't i have or dont have the slippers	78	3
ham	I asked you to call him now ok	30	0
ham	Kallis wont bat in 2nd innings.	31	1
ham	It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.	146	5
spam	Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16	150	3
ham	Ranjith cal drpd Deeraj and deepak 5min hold	44	0
ham	Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.	179	11
ham	What you doing?how are you?	27	2
ham	Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.	179	3
ham	I'm back, lemme know when you're ready	38	3
ham	Don't necessarily expect it to be done before you get back though because I'm just now headin out	97	2
ham	Mmm so yummy babe ... Nice jolt to the suzy	43	3
ham	Where are you lover ? I need you ...	36	4
spam	We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW	154	4
ham	I‘m parked next to a MINI!!!! When are you coming in today do you think?	72	5
ham	Yup	3	0
ham	Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.	85	4
ham	MY NO. IN LUTON 0125698789 RING ME IF UR AROUND! H*	51	3
spam	Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698	121	0
ham	Why you Dint come with us.	26	1
ham	Same. Wana plan a trip sometme then	35	1
ham	Not sure yet, still trying to get a hold of him	47	1
spam	Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT	159	7
ham	The evo. I just had to download flash. Jealous?	47	3
spam	Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.	133	3
ham	Come to mu, we're sorting out our narcotics situation	53	2
ham	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.	147	3
spam	HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com	155	7
ham	Usf I guess, might as well take 1 car	37	1
ham	No objection. My bf not coming.	31	2
ham	Thanx...	8	3
ham	Tell rob to mack his gf in the theater	38	0
ham	Awesome, I'll see you in a bit	30	2
ham	Just sent it. So what type of food do you like?	47	2
ham	All done? All handed in? Celebrations in full swing yet?	56	3
ham	You got called a tool?	22	1
ham	Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..	141	12
ham	Ok. I asked for money how far	29	1
ham	Okie...	7	3
ham	Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down	121	3
ham	K, I might come by tonight then if my class lets out early	58	1
ham	Ok..	4	2
ham	hi baby im cruisin with my girl friend what r u up 2? give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx	148	1
ham	My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..	160	14
ham	Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.	152	7
ham	Hey you told your name to gautham ah?	37	1
ham	Haf u found him? I feel so stupid da v cam was working.	55	2
ham	Oops. 4 got that bit.	21	2
ham	Are you this much buzy	22	0
ham	I accidentally deleted the message. Resend please.	50	2
spam	T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply	159	8
ham	Unless it's a situation where YOU GO GURL would be more appropriate	67	1
ham	Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL	153	11
ham	I cant pick the phone right now. Pls send a message	51	1
ham	Need a coffee run tomo?Can't believe it's that time of week already	67	3
ham	Awesome, I remember the last time we got somebody high for the first time with diesel :V	88	2
ham	Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?	157	5
ham	Oh and by the way you do have more food in your fridge! Want to go out for a meal tonight? 	91	2
ham	He is a womdarfull actor	24	0
spam	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE	146	15
ham	Yup... From what i remb... I think should be can book... 	57	9
ham	Jos ask if u wana meet up?	26	1
ham	Lol yes. Our friendship is hanging on a thread cause u won't buy stuff.	71	3
spam	TheMob> Check out our newest selection of content, Games, Tones, Gossip, babes and sport, Keep your mobile fit and funky text WAP to 82468	138	6
ham	Where are the garage keys? They aren't on the bookshelf	55	2
ham	Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy	156	3
spam	Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week	133	10
ham	He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week	119	3
ham	Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.	142	6
ham	You made my day. Do have a great day too.	41	2
ham	K.k:)advance happy pongal.	26	4
ham	Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...	119	14
ham	Not really dude, have no friends i'm afraid :(	46	4
spam	December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906	157	4
ham	Coffee cake, i guess...	23	4
ham	Merry Christmas to you too babe, i love ya *kisses*	51	3
ham	Hey... Why dont we just go watch x men and have lunch... Haha 	62	6
ham	cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x	107	2
ham	That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week	157	6
ham	No problem. How are you doing?	30	2
ham	No calls..messages..missed calls	32	4
ham	Hi da:)how is the todays class?	31	3
ham	I'd say that's a good sign but, well, you know my track record at reading women	79	4
ham	Cool, text me when you're parked	32	2
ham	I'm reading the text i just sent you. Its meant to be a joke. So read it in that light	86	3
ham	K.k:)apo k.good movie.	22	5
ham	Maybe i could get book out tomo then return it immediately ..? Or something.	76	4
spam	Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!	128	4
ham	Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.	232	4
spam	Valentines Day Special! Win over £1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.	158	7
ham	Ta-Daaaaa! I am home babe, are you still up ?	45	4
ham	Cool. So how come you havent been wined and dined before?	57	2
ham	Just sleeping..and surfing	26	2
ham	Sorry, I'll call later	22	2
ham	U calling me right? Call my hand phone...	41	4
ham	Ok that's great thanx a lot.	28	2
