Id,Purchase,WeekofPurchase,StoreID,PriceCH,PriceMM,DiscCH,DiscMM,SpecialCH,SpecialMM,LoyalCH,SalePriceMM,SalePriceCH,PriceDiff,Store7,PctDiscMM,PctDiscCH,ListPriceDiff,STORE
31,CH,246,2,1.89,2.09,0,0,0,0,0.5,2.09,1.89,0.2,No,0,0,0.2,2
32,CH,265,7,1.86,2.13,0.37,0,1,0,0.6,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
33,MM,275,2,1.96,2.18,0,0.8,0,1,0.68,1.38,1.96,-0.58,No,0.366972,0,0.22,2
34,MM,232,2,1.69,1.69,0,0,1,0,0.68,1.69,1.69,0,No,0,0,0,2
35,CH,251,3,1.99,2.23,0,0,0,0,0.544,2.23,1.99,0.24,No,0,0,0.24,3
36,CH,256,3,1.99,2.29,0,0,0,0,0.6352,2.29,1.99,0.3,No,0,0,0.3,3
37,CH,258,1,1.76,2.18,0,0,0,0,0.70816,2.18,1.76,0.42,No,0,0,0.42,1
38,CH,277,1,1.99,2.13,0.24,0,0,0,0.7952,2.13,1.75,0.38,No,0,0.120603,0.14,1
39,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.4,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
40,CH,227,4,1.79,1.79,0,0,0,1,0.920961,1.79,1.79,0,No,0,0,0,4
41,CH,229,4,1.79,1.79,0,0,0,0,0.936769,1.79,1.79,0,No,0,0,0,4
42,CH,230,4,1.79,1.79,0,0,0,0,0.949415,1.79,1.79,0,No,0,0,0,4
43,CH,233,4,1.79,2.09,0,0,0,0,0.959532,2.09,1.79,0.3,No,0,0,0.3,4
44,CH,236,4,1.79,2.09,0,0,0,0,0.967626,2.09,1.79,0.3,No,0,0,0.3,4
45,MM,237,4,1.79,2.09,0,0,0,0,0.9741,2.09,1.79,0.3,No,0,0,0.3,4
46,CH,240,4,1.79,2.23,0,0,0,0,0.77928,2.23,1.79,0.44,No,0,0,0.44,4
47,CH,244,4,1.99,2.23,0,0,0,0,0.823424,2.23,1.99,0.24,No,0,0,0.24,4
48,CH,245,4,1.99,2.23,0,0,0,0,0.858739,2.23,1.99,0.24,No,0,0,0.24,4
49,CH,246,4,1.99,2.23,0,0,0,0,0.886992,2.23,1.99,0.24,No,0,0,0.24,4
50,CH,247,4,1.99,2.23,0,0,0,0,0.909593,2.23,1.99,0.24,No,0,0,0.24,4
51,MM,248,4,1.99,2.23,0,0,0,0,0.927675,2.23,1.99,0.24,No,0,0,0.24,4
52,CH,249,4,1.99,2.23,0,0,0,0,0.74214,2.23,1.99,0.24,No,0,0,0.24,4
53,CH,252,4,1.99,2.23,0,0,0,0,0.793712,2.23,1.99,0.24,No,0,0,0.24,4
54,MM,254,4,1.99,2.29,0,0,1,0,0.834969,2.29,1.99,0.3,No,0,0,0.3,4
55,CH,256,4,1.99,2.29,0,0,0,0,0.667976,2.29,1.99,0.3,No,0,0,0.3,4
56,CH,256,4,1.99,2.29,0,0,0,0,0.73438,2.29,1.99,0.3,No,0,0,0.3,4
57,CH,257,4,1.99,2.29,0,0.4,0,1,0.787504,1.89,1.99,-0.1,No,0.174672,0,0.3,4
58,CH,258,4,1.99,2.29,0,0,0,0,0.830003,2.29,1.99,0.3,No,0,0,0.3,4
59,CH,258,7,1.86,2.18,0,0,0,0,0.864003,2.18,1.86,0.32,Yes,0,0,0.32,0
60,CH,259,4,1.99,2.29,0,0,0,0,0.891202,2.29,1.99,0.3,No,0,0,0.3,4
61,CH,260,4,1.99,2.09,0,0,0,0,0.912962,2.09,1.99,0.1,No,0,0,0.1,4
62,CH,263,4,1.99,2.09,0,0,0,0,0.930369,2.09,1.99,0.1,No,0,0,0.1,4
63,MM,265,4,1.99,2.09,0.1,0,0,0,0.944296,2.09,1.89,0.2,No,0,0.050251,0.1,4
64,CH,265,4,1.99,2.09,0.1,0,0,0,0.755436,2.09,1.89,0.2,No,0,0.050251,0.1,4
65,CH,266,4,1.99,2.09,0.1,0,0,0,0.804349,2.09,1.89,0.2,No,0,0.050251,0.1,4
66,CH,267,4,1.99,2.09,0.1,0,0,0,0.843479,2.09,1.89,0.2,No,0,0.050251,0.1,4
67,MM,269,4,1.99,2.09,0.1,0,0,0,0.874783,2.09,1.89,0.2,No,0,0.050251,0.1,4
68,MM,270,4,1.99,2.09,0.1,0,0,0,0.699827,2.09,1.89,0.2,No,0,0.050251,0.1,4
69,CH,272,4,1.99,2.09,0,0.4,0,0,0.559861,1.69,1.99,-0.3,No,0.191388,0,0.1,4
70,CH,272,4,1.99,2.09,0,0.4,0,0,0.647889,1.69,1.99,-0.3,No,0.191388,0,0.1,4
71,CH,274,4,1.99,2.09,0,0.4,0,0,0.718311,1.69,1.99,-0.3,No,0.191388,0,0.1,4
72,CH,275,4,2.09,2.09,0,0.4,0,0,0.774649,1.69,2.09,-0.4,No,0.191388,0,0,4
73,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.819719,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
74,CH,278,4,2.09,2.09,0.2,0,0,0,0.855775,2.09,1.89,0.2,No,0,0.095694,0,4
75,CH,230,7,1.69,1.99,0,0,0,1,0.68,1.99,1.69,0.3,Yes,0,0,0.3,0
76,CH,238,4,1.79,2.09,0,0,0,0,0.744,2.09,1.79,0.3,No,0,0,0.3,4
77,CH,239,4,1.79,2.23,0,0,0,0,0.7952,2.23,1.79,0.44,No,0,0,0.44,4
78,CH,251,4,1.99,2.23,0,0,0,0,0.83616,2.23,1.99,0.24,No,0,0,0.24,4
79,CH,252,2,1.89,2.09,0.13,0,0,0,0.868928,2.09,1.76,0.33,No,0,0.068783,0.2,2
80,CH,255,4,1.99,2.29,0,0,0,0,0.895142,2.29,1.99,0.3,No,0,0,0.3,4
81,CH,263,4,1.99,2.09,0,0,0,0,0.916114,2.09,1.99,0.1,No,0,0,0.1,4
82,CH,264,4,1.99,2.09,0.1,0,0,0,0.932891,2.09,1.89,0.2,No,0,0.050251,0.1,4
83,CH,269,4,1.99,2.09,0.1,0,0,0,0.946313,2.09,1.89,0.2,No,0,0.050251,0.1,4
84,CH,273,4,1.99,2.09,0,0.4,0,0,0.95705,1.69,1.99,-0.3,No,0.191388,0,0.1,4
85,CH,275,4,2.09,2.09,0,0.4,0,0,0.96564,1.69,2.09,-0.4,No,0.191388,0,0,4
86,CH,276,2,1.99,2.18,0,0,0,1,0.972512,2.18,1.99,0.19,No,0,0,0.19,2
87,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.97801,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
88,CH,252,4,1.99,2.23,0,0,0,0,0.68,2.23,1.99,0.24,No,0,0,0.24,4
89,CH,275,4,2.09,2.09,0,0.4,0,0,0.744,1.69,2.09,-0.4,No,0.191388,0,0,4
90,CH,277,3,2.09,2.09,0.2,0.4,0,0,0.7952,1.69,1.89,-0.2,No,0.191388,0.095694,0,3
91,CH,237,4,1.79,2.09,0,0,0,0,0.5,2.09,1.79,0.3,No,0,0,0.3,4
92,CH,269,4,1.99,2.09,0.1,0,0,0,0.6,2.09,1.89,0.2,No,0,0.050251,0.1,4
93,CH,242,4,1.99,2.23,0,0,0,0,0.5,2.23,1.99,0.24,No,0,0,0.24,4
94,CH,244,7,1.86,2.09,0,0.2,0,0,0.6,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
95,CH,241,2,1.75,1.99,0,0.3,0,1,0.5,1.69,1.75,-0.06,No,0.150754,0,0.24,2
96,CH,277,2,1.99,2.18,0,0,0,0,0.6,2.18,1.99,0.19,No,0,0,0.19,2
97,CH,277,7,1.99,2.13,0.5,0,0,1,0.4,2.13,1.49,0.64,Yes,0,0.251256,0.14,0
98,CH,227,2,1.69,1.69,0,0,0,0,0.744,1.69,1.69,0,No,0,0,0,2
99,CH,229,2,1.69,1.69,0,0,0,0,0.7952,1.69,1.69,0,No,0,0,0,2
100,CH,234,2,1.69,1.99,0,0,0,0,0.83616,1.99,1.69,0.3,No,0,0,0.3,2
101,CH,236,2,1.75,1.99,0,0,0,0,0.868928,1.99,1.75,0.24,No,0,0,0.24,2
102,CH,237,2,1.75,1.99,0,0,0,0,0.895142,1.99,1.75,0.24,No,0,0,0.24,2
103,CH,240,2,1.75,1.99,0,0.3,0,1,0.916114,1.69,1.75,-0.06,No,0.150754,0,0.24,2
104,MM,241,2,1.75,1.99,0,0.3,0,1,0.932891,1.69,1.75,-0.06,No,0.150754,0,0.24,2
105,CH,243,2,1.86,2.09,0,0,0,1,0.746313,2.09,1.86,0.23,No,0,0,0.23,2
106,CH,245,2,1.89,2.09,0,0,0,0,0.79705,2.09,1.89,0.2,No,0,0,0.2,2
107,CH,245,1,1.86,2.09,0.17,0,0,0,0.83764,2.09,1.69,0.4,No,0,0.091398,0.23,1
108,CH,248,2,1.89,2.09,0,0,0,0,0.870112,2.09,1.89,0.2,No,0,0,0.2,2
109,CH,248,2,1.89,2.09,0,0,0,0,0.89609,2.09,1.89,0.2,No,0,0,0.2,2
110,CH,249,2,1.89,2.09,0,0,0,0,0.916872,2.09,1.89,0.2,No,0,0,0.2,2
111,CH,249,1,1.86,2.09,0,0,0,0,0.933497,2.09,1.86,0.23,No,0,0,0.23,1
112,MM,251,3,1.99,2.23,0,0,0,0,0.946798,2.23,1.99,0.24,No,0,0,0.24,3
113,CH,253,2,1.89,2.09,0.13,0,0,0,0.757438,2.09,1.76,0.33,No,0,0.068783,0.2,2
114,CH,254,2,1.89,2.09,0.13,0,0,0,0.805951,2.09,1.76,0.33,No,0,0.068783,0.2,2
115,CH,255,2,1.89,2.18,0.13,0,0,0,0.844761,2.18,1.76,0.42,No,0,0.068783,0.29,2
116,CH,257,3,1.99,2.29,0,0.4,0,1,0.875808,1.89,1.99,-0.1,No,0.174672,0,0.3,3
117,CH,257,2,1.86,2.18,0,0,0,0,0.900647,2.18,1.86,0.32,No,0,0,0.32,2
118,CH,258,2,1.86,2.18,0,0,0,0,0.920517,2.18,1.86,0.32,No,0,0,0.32,2
119,CH,259,3,1.99,2.29,0,0,0,0,0.936414,2.29,1.99,0.3,No,0,0,0.3,3
120,CH,259,2,1.86,2.18,0,0.4,0,1,0.949131,1.78,1.86,-0.08,No,0.183486,0,0.32,2
121,CH,260,2,1.86,2.18,0,0.7,0,0,0.959305,1.48,1.86,-0.38,No,0.321101,0,0.32,2
122,CH,261,1,1.76,1.99,0,0,0,0,0.967444,1.99,1.76,0.23,No,0,0,0.23,1
123,CH,261,2,1.86,2.18,0,0,0,0,0.973955,2.18,1.86,0.32,No,0,0,0.32,2
124,CH,263,2,1.86,2.18,0,0,0,1,0.979164,2.18,1.86,0.32,No,0,0,0.32,2
125,MM,264,2,1.86,2.18,0,0,0,0,0.983331,2.18,1.86,0.32,No,0,0,0.32,2
126,CH,265,2,1.86,2.18,0,0,0,0,0.786665,2.18,1.86,0.32,No,0,0,0.32,2
127,CH,266,1,1.86,1.99,0,0.1,0,0,0.829332,1.89,1.86,0.03,No,0.050251,0,0.13,1
128,CH,266,2,1.86,2.18,0,0,0,0,0.863466,2.18,1.86,0.32,No,0,0,0.32,2
129,CH,267,2,1.86,2.18,0,0.4,0,1,0.890772,1.78,1.86,-0.08,No,0.183486,0,0.32,2
130,CH,270,2,1.86,2.18,0,0,0,0,0.912618,2.18,1.86,0.32,No,0,0,0.32,2
131,CH,270,1,1.86,2.18,0,0,0,0,0.930094,2.18,1.86,0.32,No,0,0,0.32,1
132,CH,271,2,1.86,2.18,0,0.06,0,0,0.944076,2.12,1.86,0.26,No,0.027523,0,0.32,2
133,CH,272,2,1.86,2.18,0,0.06,0,0,0.95526,2.12,1.86,0.26,No,0.027523,0,0.32,2
134,CH,273,7,1.86,2.13,0,0.54,0,0,0.964208,1.59,1.86,-0.27,Yes,0.253521,0,0.27,0
135,CH,273,1,1.86,2.18,0,0,0,0,0.971367,2.18,1.86,0.32,No,0,0,0.32,1
136,CH,274,2,1.96,2.18,0,0.8,0,1,0.977093,1.38,1.96,-0.58,No,0.366972,0,0.22,2
137,CH,275,2,1.96,2.18,0,0.8,0,1,0.981675,1.38,1.96,-0.58,No,0.366972,0,0.22,2
138,CH,276,7,1.99,2.13,0,0.54,0,1,0.98534,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
139,CH,278,2,1.99,2.18,0,0,0,0,0.988272,2.18,1.99,0.19,No,0,0,0.19,2
140,CH,242,3,1.99,2.23,0,0,0,0,0.6,2.23,1.99,0.24,No,0,0,0.24,3
141,CH,237,1,1.75,1.99,0,0,0,0,0.52,1.99,1.75,0.24,No,0,0,0.24,1
142,CH,251,4,1.99,2.23,0,0,0,0,0.5,2.23,1.99,0.24,No,0,0,0.24,4
143,MM,255,4,1.99,2.29,0,0,0,0,0.6,2.29,1.99,0.3,No,0,0,0.3,4
144,MM,261,7,1.86,2.13,0,0.24,0,0,0.48,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
145,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.384,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
146,MM,233,7,1.75,1.99,0,0.4,1,0,0.5,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
147,MM,236,7,1.75,1.99,0,0.4,0,0,0.4,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
148,MM,243,7,1.86,2.09,0,0.2,0,0,0.32,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
149,MM,244,7,1.86,2.09,0,0.2,0,0,0.256,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
150,MM,245,7,1.86,2.09,0,0.2,0,0,0.2048,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
151,MM,252,7,1.86,2.09,0.1,0,0,0,0.16384,2.09,1.76,0.33,Yes,0,0.053763,0.23,0
152,MM,277,7,1.99,2.13,0.5,0,0,1,0.131072,2.13,1.49,0.64,Yes,0,0.251256,0.14,0
153,CH,228,4,1.79,1.79,0,0,0,0,0.83616,1.79,1.79,0,No,0,0,0,4
154,CH,230,3,1.79,1.79,0,0,0,0,0.868928,1.79,1.79,0,No,0,0,0,3
155,CH,231,3,1.79,1.79,0,0,0,0,0.895142,1.79,1.79,0,No,0,0,0,3
156,CH,233,1,1.69,1.99,0,0,0,0,0.916114,1.99,1.69,0.3,No,0,0,0.3,1
157,CH,263,4,1.99,2.09,0,0,0,0,0.932891,2.09,1.99,0.1,No,0,0,0.1,4
158,CH,264,4,1.99,2.09,0.1,0,0,0,0.946313,2.09,1.89,0.2,No,0,0.050251,0.1,4
159,CH,265,4,1.99,2.09,0.1,0,0,0,0.95705,2.09,1.89,0.2,No,0,0.050251,0.1,4
160,CH,266,4,1.99,2.09,0.1,0,0,0,0.96564,2.09,1.89,0.2,No,0,0.050251,0.1,4
161,CH,267,4,1.99,2.09,0.1,0,0,0,0.972512,2.09,1.89,0.2,No,0,0.050251,0.1,4
162,CH,269,4,1.99,2.09,0.1,0,0,0,0.97801,2.09,1.89,0.2,No,0,0.050251,0.1,4
163,CH,270,1,1.86,2.18,0,0,0,0,0.982408,2.18,1.86,0.32,No,0,0,0.32,1
164,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.985926,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
165,CH,272,4,1.99,2.09,0,0.4,0,0,0.988741,1.69,1.99,-0.3,No,0.191388,0,0.1,4
166,CH,274,4,1.99,2.09,0,0.4,0,0,0.990993,1.69,1.99,-0.3,No,0.191388,0,0.1,4
167,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.992794,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
168,CH,277,4,2.09,2.09,0.2,0.4,0,0,0.994235,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
169,CH,278,3,2.09,2.09,0.2,0,0,0,0.995388,2.09,1.89,0.2,No,0,0.095694,0,3
170,CH,269,2,1.86,2.18,0,0,0,0,0.6,2.18,1.86,0.32,No,0,0,0.32,2
171,CH,229,7,1.69,1.69,0,0.2,0,1,0.95705,1.49,1.69,-0.2,Yes,0.118343,0,0,0
172,CH,230,7,1.69,1.99,0,0,0,1,0.96564,1.99,1.69,0.3,Yes,0,0,0.3,0
173,CH,231,4,1.79,1.79,0,0,0,0,0.972512,1.79,1.79,0,No,0,0,0,4
174,CH,233,4,1.79,2.09,0,0,0,0,0.97801,2.09,1.79,0.3,No,0,0,0.3,4
175,CH,239,7,1.79,2.09,0,0,0,0,0.982408,2.09,1.79,0.3,Yes,0,0,0.3,0
176,CH,240,4,1.79,2.23,0,0,0,0,0.985926,2.23,1.79,0.44,No,0,0,0.44,4
177,CH,242,7,1.86,2.09,0,0,0,0,0.988741,2.09,1.86,0.23,Yes,0,0,0.23,0
178,CH,243,4,1.99,2.23,0,0,0,0,0.990993,2.23,1.99,0.24,No,0,0,0.24,4
179,CH,244,7,1.86,2.09,0,0.2,0,0,0.992794,1.89,1.86,0.03,Yes,0.095694,0,0.23,0
180,CH,246,4,1.99,2.23,0,0,0,0,0.994235,2.23,1.99,0.24,No,0,0,0.24,4
181,CH,249,4,1.99,2.23,0,0,0,0,0.995388,2.23,1.99,0.24,No,0,0,0.24,4
182,CH,250,7,1.86,2.09,0,0,0,0,0.996311,2.09,1.86,0.23,Yes,0,0,0.23,0
183,CH,251,4,1.99,2.23,0,0,0,0,0.997049,2.23,1.99,0.24,No,0,0,0.24,4
184,CH,254,4,1.99,2.29,0,0,1,0,0.997639,2.29,1.99,0.3,No,0,0,0.3,4
185,CH,255,4,1.99,2.29,0,0,0,0,0.998111,2.29,1.99,0.3,No,0,0,0.3,4
186,CH,257,4,1.99,2.29,0,0.4,0,1,0.998489,1.89,1.99,-0.1,No,0.174672,0,0.3,4
187,CH,260,4,1.99,2.09,0,0,0,0,0.998791,2.09,1.99,0.1,No,0,0,0.1,4
188,CH,261,4,1.99,2.09,0,0,0,0,0.999033,2.09,1.99,0.1,No,0,0,0.1,4
189,CH,262,4,1.99,2.09,0,0,0,0,0.999226,2.09,1.99,0.1,No,0,0,0.1,4
190,CH,264,4,1.99,2.09,0.1,0,0,0,0.999381,2.09,1.89,0.2,No,0,0.050251,0.1,4
191,CH,265,4,1.99,2.09,0.1,0,0,0,0.999505,2.09,1.89,0.2,No,0,0.050251,0.1,4
192,CH,266,7,1.86,2.13,0.37,0,1,0,0.999604,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
193,CH,267,7,1.86,2.13,0,0,1,0,0.999683,2.13,1.86,0.27,Yes,0,0,0.27,0
194,CH,269,7,1.86,2.13,0.27,0,1,0,0.999746,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
195,CH,271,4,1.99,2.09,0.1,0.4,1,0,0.999797,1.69,1.89,-0.2,No,0.191388,0.050251,0.1,4
196,CH,272,4,1.99,2.09,0,0.4,0,0,0.999838,1.69,1.99,-0.3,No,0.191388,0,0.1,4
197,CH,274,4,1.99,2.09,0,0.4,0,0,0.99987,1.69,1.99,-0.3,No,0.191388,0,0.1,4
198,CH,275,7,1.99,2.13,0,0.54,1,0,0.999896,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
199,CH,276,4,2.09,2.09,0.2,0.4,0,0,0.999917,1.69,1.89,-0.2,No,0.191388,0.095694,0,4
200,CH,277,7,1.99,2.13,0.5,0,0,1,0.999934,2.13,1.49,0.64,Yes,0,0.251256,0.14,0
201,CH,278,4,2.09,2.09,0.2,0,0,0,0.999947,2.09,1.89,0.2,No,0,0.095694,0,4
202,MM,229,7,1.69,1.69,0,0.2,0,1,0.68,1.49,1.69,-0.2,Yes,0.118343,0,0,0
203,CH,230,7,1.69,1.99,0,0,0,1,0.544,1.99,1.69,0.3,Yes,0,0,0.3,0
204,CH,231,7,1.69,1.99,0,0,0,0,0.6352,1.99,1.69,0.3,Yes,0,0,0.3,0
205,CH,233,7,1.75,1.99,0,0.4,1,0,0.70816,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
206,CH,237,7,1.75,1.99,0,0.4,0,0,0.766528,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
207,CH,241,7,1.86,2.09,0,0,0,0,0.813222,2.09,1.86,0.23,Yes,0,0,0.23,0
208,CH,242,7,1.86,2.09,0,0,0,0,0.850578,2.09,1.86,0.23,Yes,0,0,0.23,0
209,CH,253,7,1.86,2.09,0.1,0,0,0,0.880462,2.09,1.76,0.33,Yes,0,0.053763,0.23,0
210,CH,256,7,1.86,2.18,0,0,0,0,0.90437,2.18,1.86,0.32,Yes,0,0,0.32,0
211,CH,258,7,1.86,2.18,0,0,0,0,0.923496,2.18,1.86,0.32,Yes,0,0,0.32,0
212,CH,259,7,1.86,2.18,0,0,0,0,0.938797,2.18,1.86,0.32,Yes,0,0,0.32,0
213,CH,260,7,1.86,2.13,0,0.24,0,0,0.951037,1.89,1.86,0.03,Yes,0.112676,0,0.27,0
214,CH,263,7,1.86,2.13,0.27,0,0,0,0.96083,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
215,CH,264,7,1.86,2.13,0.37,0,1,0,0.968664,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
216,CH,265,7,1.86,2.13,0.37,0,1,0,0.974931,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
217,CH,265,7,1.86,2.13,0.37,0,1,0,0.979945,2.13,1.49,0.64,Yes,0,0.198925,0.27,0
218,CH,267,7,1.86,2.13,0,0,1,0,0.983956,2.13,1.86,0.27,Yes,0,0,0.27,0
219,CH,270,7,1.86,2.13,0.27,0,1,0,0.987165,2.13,1.59,0.54,Yes,0,0.145161,0.27,0
220,CH,272,7,1.86,2.13,0,0,0,0,0.989732,2.13,1.86,0.27,Yes,0,0,0.27,0
221,CH,274,2,1.96,2.18,0,0.8,0,1,0.991785,1.38,1.96,-0.58,No,0.366972,0,0.22,2
222,MM,228,1,1.69,1.69,0,0,0,0,0.32,1.69,1.69,0,No,0,0,0,1
223,CH,234,1,1.69,1.99,0,0,0,0,0.256,1.99,1.69,0.3,No,0,0,0.3,1
224,MM,243,1,1.86,1.99,0,0.8,0,1,0.4048,1.19,1.86,-0.67,No,0.40201,0,0.13,1
225,CH,251,1,1.76,2.09,0,0,0,0,0.32384,2.09,1.76,0.33,No,0,0,0.33,1
226,MM,253,1,1.76,2.09,0,0,0,0,0.459072,2.09,1.76,0.33,No,0,0,0.33,1
227,MM,242,3,1.99,2.23,0,0,0,0,0.5,2.23,1.99,0.24,No,0,0,0.24,3
228,MM,244,3,1.99,2.23,0,0,0,0,0.4,2.23,1.99,0.24,No,0,0,0.24,3
229,MM,247,3,1.99,2.23,0,0,0,0,0.32,2.23,1.99,0.24,No,0,0,0.24,3
230,CH,274,7,1.86,2.13,0.47,0.54,1,0,0.52,1.59,1.39,0.2,Yes,0.253521,0.252688,0.27,0
231,MM,276,7,1.99,2.13,0,0.54,0,1,0.616,1.59,1.99,-0.4,Yes,0.253521,0,0.14,0
232,CH,228,7,1.69,1.69,0,0,0,0,0.535142,1.69,1.69,0,Yes,0,0,0,0
233,CH,233,7,1.75,1.99,0,0.4,1,0,0.628114,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
234,MM,234,7,1.75,1.99,0,0.4,1,0,0.702491,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
235,CH,235,7,1.75,1.99,0,0.4,0,0,0.561993,1.59,1.75,-0.16,Yes,0.201005,0,0.24,0
236,CH,236,3,1.79,2.09,0,0,0,0,0.649594,2.09,1.79,0.3,No,0,0,0.3,3
237,CH,238,3,1.79,2.09,0,0,0,0,0.719675,2.09,1.79,0.3,No,0,0,0.3,3
238,CH,240,7,1.86,2.09,0,0,0,0,0.77574,2.09,1.86,0.23,Yes,0,0,0.23,0
239,CH,250,7,1.86,2.09,0,0,0,0,0.820592,2.09,1.86,0.23,Yes,0,0,0.23,0
240,CH,254,7,1.86,2.18,0,0,0,0,0.856474,2.18,1.86,0.32,Yes,0,0,0.32,0
241,CH,257,7,1.86,2.18,0,0,0,0,0.885179,2.18,1.86,0.32,Yes,0,0,0.32,0
242,CH,258,7,1.86,2.18,0,0,0,0,0.908143,2.18,1.86,0.32,Yes,0,0,0.32,0
