Id,C_MSSubClass,C_MSZoning,Numeric_LotFrontage,Numeric_LotArea,C_Street,C_Alley,C_LotShape,C_LandContour,C_Utilities,C_LotConfig,C_LandSlope,C_Neighborhood,C_Condition1,C_Condition2,C_BldgType,C_HouseStyle,Int_OverallQual,Int_OverallCond,C_YearBuilt,C_YearRemodAdd,C_RoofStyle,C_RoofMatl,C_Exterior1st,C_Exterior2nd,C_MasVnrType,Numeric_MasVnrArea,C_ExterQual,C_ExterCond,C_Foundation,C_BsmtQual,C_BsmtCond,C_BsmtExposure,C_BsmtFinType1,Numeric_BsmtFinSF1,C_BsmtFinType2,Numeric_BsmtFinSF2,Numeric_BsmtUnfSF,Numeric_TotalBsmtSF,C_Heating,C_HeatingQC,C_CentralAir,C_Electrical,Numeric_1stFlrSF,Numeric_2ndFlrSF,Numeric_LowQualFinSF,Numeric_GrLivArea,Int_BsmtFullBath,Int_BsmtHalfBath,Int_FullBath,Int_HalfBath,Int_BedroomAbvGr,Int_KitchenAbvGr,C_KitchenQual,Int_TotRmsAbvGrd,C_Functional,Int_Fireplaces,C_FireplaceQu,C_GarageType,C_GarageYrBlt,C_GarageFinish,Int_GarageCars,Numeric_GarageArea,C_GarageQual,C_GarageCond,C_PavedDrive,Numeric_WoodDeckSF,Numeric_OpenPorchSF,Numeric_EnclosedPorch,Numeric_3SsnPorch,Numeric_ScreenPorch,Numeric_PoolArea,C_PoolQC,C_Fence,C_MiscFeature,Numeric_MiscVal,C_MoSold,C_YrSold,C_SaleType,C_SaleCondition,SalePrice,Log_LotFrontage,Log_LotArea,Log_MasVnrArea,Log_BsmtFinSF1,Log_BsmtFinSF2,Log_BsmtUnfSF,Log_TotalBsmtSF,Log_1stFlrSF,Log_2ndFlrSF,Log_LowQualFinSF,Log_GrLivArea,Log_GarageArea,Log_WoodDeckSF,Log_OpenPorchSF,Log_EnclosedPorch,Log_3SsnPorch,Log_ScreenPorch,Log_PoolArea,Log_MiscVal,C_Feature_Bldg_Class,Numeric_Feature_SD_LotArea,C_Feature_1_SD_Away_LotArea,C_Feature_MSZoning,C_Feature_LotShape,C_Feature_LotConfig,C_Feature_LandSlope,C_Feature_Neighbourhood_Class,C_Feature_Neighbourhood,C_Feature_Condition1_1,C_Feature_Condition1_2,C_Feature_Condition2,C_Feature_BldgType,C_Feature_HouseStyle_1,C_Feature_HouseStyle_2,Int_Feature_HouseStyle_3,Int_Feature_Overall_Qual,Int_Feature_Overall_Cond,C_Feature_OverallQual,C_Feature_OverallCond,Int_Feature_YearBuilt_Age,C_Feature_YearBuilt_Age_2,C_Feature_YearBuilt_Age_3,Int_Feature_YearBuilt_Age_3,C_Feature_YearBuilt_interaction,Int_Feature_Reomod_Age,C_Feature_Remod_Flag,C_Feature_YearRemod_Age_2,C_Feature_YearRemod_Age_3,C_Feature_YearRemod_interaction,C_Feature_RoofStyle,C_Feature_RoofMatl,C_Feature_Exterior1st,C_Feature_Exterior2nd,C_Feature_Exterior2nd_Flag,C_Feature_MasVnrType,Int_Feature_ExterQual,C_Feature_ExterQual_Flag,Int_Feature_ExterQual_2,Int_Feature_ExterCond,C_Feature_ExterCond_Flag,Int_Feature_ExterCond_2,C_Feature_ExterCond_Depr_Flag,Int_Feature_Years_Depreciated,C_Feature_Foundation,Int_Feature_BsmtQual,Int_Feature_BsmtQual_2,Int_Feature_BsmtCond,C_Feature_BsmtQual_BsmtCond,Int_Feature_BsmtExposure,C_Feature_QCE,C_Feature_BsmtFinTyp1_1,C_Feature_BsmtFintyp1_2,C_Feature_BsmtFinTyp2_1,C_Feature_BsmtFinTyp2_2,C_Feature_Heating,Int_Feature_Heating_QC,C_Feature_Heating_and_QC,C_Feature_Electrical,C_Feature_2ndFlr_Flag,C_Feature_LowQualSF,C_Feature_BsmtFullBath,C_Feature_BsmtHalfBath,C_Feature_FullBath,C_Feature_HalfBath,Int_Feature_Bsmt_TotalBath,Int_Feature_TotalBath,Int_Feature_Tot_HalfBath,Int_Feature_Tot_FullBath,Int_Feature_TotBath,C_Feature_KitchenAbvGrd,Int_Feature_KitchenQual,C_Feature_Kitchen_NQ,C_Feature_TotRmsAbvGrd,C_Feature_Functional,Int_Feature_Firplace_QU,C_Feature_GarageType,C_Feature_Garage_Flag,Int_GarageYearBuilt_Age,C_GarageYear_df_than_built_flag,Int_Feature_GarageQual,Int_Feature_GarageCond,C_Feature_Qual_Cond,C_Feature_Paved,Numeric_Feature_TotalPorch_Area,Numeric_Feature_Log_TotalPorch,C_Feature_WoodDeckSF_Flag,C_Feature_OpenPorchSF_Flag,C_Feature_EnclosedPorch_Flag,C_Feature_3SsnPorch_Flag,C_Feature_ScreenPorch_Flag,C_sumof_Flags,C_sumof_Flags_inverse,C_Feature_Fence_Flag,C_Feature_SaleCondition,C_Feature_SaleType,Numeric_Feature_TotalArea,Numeric_Feature_Log_TotalArea
438,45,RM,50,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,0,884,884,GasA,Gd,Y,SBrkr,904,0,0,904,0,0,1,0,2,1,TA,4,Typ,0,None,Detchd,1926,Unf,1,180,TA,TA,Y,0,0,105,0,0,0,None,None,None,0,1,2009,WD,Normal,119000,1.698970004,3.77815125,0,0,0,2.946452265,2.946452265,2.95616843,0,0,2.95616843,2.255272505,0,0,2.021189299,0,0,0,0,0,-0.45,0,0,1,Inside,1,Below Average,BrkSide,1,1,0,1,1.5Unf,0,1,6,7,6,7,83,More than 50 but less than 100 Years,9,9,More than 50 but less than 100 Years AND 9,5,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,Wd Sdng,Wd Sdng,0,1,4,0,4,3,0,3,Depreciated,5,PConc,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,4,GasA AND 4,SBrkr,1,1,0,0,1,0,0,1,0,1,1,1 Kitchen,3,1 Kitchen AND 3,Less than 4,1,0,Detchd,0,83,0,3,3,3 AND 3,1,105,2.021189299,1,1,0,1,1,4,1,1,1,WD,1893,3.277150614
439,30,RL,40,4280,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,0,75,440,GasA,TA,N,SBrkr,694,0,0,694,0,0,1,0,2,1,Gd,4,Typ,1,Gd,Detchd,1990,Unf,1,352,Gd,TA,P,0,0,34,0,0,0,None,MnPrv,None,0,3,2007,WD,Normal,90350,1.602059991,3.631443769,0,2.562292864,0,1.875061263,2.643452676,2.84135947,0,0,2.84135947,2.546542663,0,0,1.531478917,0,0,0,0,0,-0.63,0,0,1,Inside,1,Above Average,Crawfor,1,1,0,1,1Story,1,5,5,6,5,6,94,More than 50 but less than 100 Years,10,10,More than 50 but less than 100 Years AND 10,5,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,WdShing,Stucco,1,1,3,0,3,3,0,3,Constant,0,PConc,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,0,0,1,GasA,3,GasA AND 3,SBrkr,1,1,0,0,1,0,0,1,0,1,1,1 Kitchen,4,1 Kitchen AND 4,Less than 4,1,4,Detchd,0,17,1,4,3,4 AND 3,0,34,1.531478917,1,1,0,1,1,4,1,0,1,WD,1168,3.067442843
440,50,RL,67,12354,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,0,684,684,GasA,Gd,Y,SBrkr,684,512,0,1196,0,0,1,0,3,1,Gd,7,Typ,0,None,Detchd,2005,Unf,2,528,TA,TA,Y,0,46,0,0,0,0,None,GdPrv,Shed,800,8,2009,ConLI,Normal,110000,1.826074803,4.091807597,0,0,0,2.835056102,2.835056102,2.835056102,2.709269961,0,3.07773118,2.722633923,0,1.662757832,0,0,0,0,2.903089987,0,0.19,0,0,1,Corner,1,Below Average,Edwards,1,1,0,1,1.5Fin,1,3,6,8,6,8,89,More than 50 but less than 100 Years,9,9,More than 50 but less than 100 Years AND 9,9,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,Wd Sdng,Wd Sdng,0,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,2,3 AND 2,2,3 AND 2 AND 2,0,1,0,1,GasA,4,GasA AND 4,SBrkr,0,1,0,0,1,0,0,1,0,1,1,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,0,Detchd,0,4,1,3,3,3 AND 3,1,46,1.662757832,1,0,1,1,1,4,1,0,1,Other,1926,3.284656283
441,20,RL,105,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,539,788,3094,GasA,Ex,Y,SBrkr,2402,0,0,2402,1,0,2,0,2,1,Ex,10,Typ,2,Gd,Attchd,2008,Fin,3,672,TA,TA,Y,0,72,0,0,170,0,None,None,None,0,4,2009,WD,Normal,555000,2.021189299,4.188394071,2.301029996,3.24723655,2.731588765,2.896526217,3.490520309,3.380573003,0,0,3.380573003,2.827369273,0,1.857332496,0,0,2.230448921,0,0,1,0.5,0,0,1,Inside,1,Expensive,NridgHt,1,1,0,1,1Story,1,5,10,5,10,5,1,Less than 20 Years,1,1,Less than 20 Years AND 1,1,0,Less than 20 Years,1,Less than 20 Years AND 1,Hip,CompShg,VinylSd,VinylSd,0,0,5,1,5,3,0,3,Depreciated,1,PConc,5,120,3,5 AND 3,4,5 AND 3 AND 4,0,0,1,0,GasA,5,GasA AND 5,SBrkr,1,1,1,0,2,0,1,2,0,3,3,1 Kitchen,5,1 Kitchen AND 5,10 or more,1,4,Attchd,0,1,0,3,3,3 AND 3,1,242,2.383815366,1,0,1,1,0,3,2,1,1,WD,5938,3.773640193
442,90,RL,92,12108,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,0,1307,1440,GasA,TA,N,FuseF,1440,0,0,1440,0,0,2,0,4,2,Fa,8,Typ,0,None,None,1900,None,0,0,None,None,Y,0,0,0,0,0,0,None,None,None,0,9,2008,WD,Normal,118000,1.963787827,4.083072412,2.431363764,2.123851641,0,3.116275588,3.158362492,3.158362492,0,0,3.158362492,0,0,0,0,0,0,0,0,0,0.17,0,0,1,Inside,1,Below Average,Edwards,1,1,0,0,1Story,1,5,4,4,4,4,53,More than 50 but less than 100 Years,6,6,More than 50 but less than 100 Years AND 6,53,0,More than 50 but less than 100 Years,6,More than 50 but less than 100 Years AND 6,Gable,CompShg,VinylSd,VinylSd,0,0,3,0,3,3,0,3,Constant,0,CBlock,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,0,0,1,GasA,3,GasA AND 3,Other,1,1,0,0,2,0,0,2,0,2,2,More than 1,2,More than 1 AND 2,8 Rooms,1,0,None,1,0,0,0,0,0 AND 0,1,0,0,1,1,1,1,1,5,0,1,1,WD,3150,3.498310554
443,50,RM,52,6240,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1078,1078,GasA,TA,Y,SBrkr,1128,445,0,1573,0,0,2,0,3,1,TA,8,Typ,1,Gd,Detchd,1930,Unf,2,360,TA,TA,P,0,0,0,0,0,0,None,None,None,0,6,2008,WD,Normal,162900,1.716003344,3.79518459,0,0,0,3.032618761,3.032618761,3.0523091,2.648360011,0,3.196728723,2.556302501,0,0,0,0,0,0,0,0,-0.43,0,0,1,Inside,1,Below Average,BrkSide,1,1,0,1,1.5Fin,1,3,5,7,5,7,78,More than 50 but less than 100 Years,8,8,More than 50 but less than 100 Years AND 8,16,1,Less than 20 Years,2,Less than 20 Years AND 2,Gable,CompShg,MetalSd,MetalSd,0,1,3,0,3,3,0,3,Constant,0,PConc,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,3,GasA AND 3,SBrkr,0,1,0,0,2,0,0,2,0,2,2,1 Kitchen,3,1 Kitchen AND 3,8 Rooms,1,4,Detchd,0,78,0,3,3,3 AND 3,0,0,0,1,1,1,1,1,5,0,1,1,WD,2651,3.423409728
444,120,RL,53,3922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Sdng,BrkFace,72,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1258,1258,GasA,Ex,Y,SBrkr,1258,0,0,1258,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2007,Fin,3,648,TA,TA,Y,144,16,0,0,0,0,None,None,None,0,6,2007,New,Partial,172500,1.72427587,3.593507589,1.857332496,0,0,3.099680641,3.099680641,3.099680641,0,0,3.099680641,2.811575006,2.158362492,1.204119983,0,0,0,0,0,1,-0.66,0,0,1,Inside,1,Average,Other Grouped,1,1,0,1,1Story,1,5,7,5,7,5,1,Less than 20 Years,1,1,Less than 20 Years AND 1,0,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,WdShing,Wd Sdng,1,0,4,0,4,3,0,3,Depreciated,0,PConc,5,120,3,5 AND 3,3,5 AND 3 AND 3,0,1,0,1,GasA,5,GasA AND 5,SBrkr,1,1,0,0,2,0,0,2,0,2,2,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,4,Attchd,0,0,1,3,3,3 AND 3,1,160,2.204119983,0,0,1,1,1,3,2,1,0,New,2748,3.439016728
445,60,RL,70,8750,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,TA,No,GLQ,642,Unf,0,273,915,GasA,Ex,Y,SBrkr,933,975,0,1908,1,0,2,1,4,1,Gd,8,Typ,1,TA,Attchd,1994,Unf,2,493,TA,TA,Y,144,133,0,0,0,0,None,None,None,0,7,2008,WD,Normal,210000,1.84509804,3.942008053,0,2.807535028,0,2.436162647,2.961421094,2.969881644,2.989004616,0,3.28057837,2.692846919,2.158362492,2.123851641,0,0,0,0,0,1,-0.17,0,0,1,Inside,1,Average,CollgCr,1,1,0,1,2Story,1,6,7,5,7,5,14,Less than 20 Years,2,2,Less than 20 Years AND 2,13,1,Less than 20 Years,2,Less than 20 Years AND 2,Gable,CompShg,VinylSd,VinylSd,0,1,4,0,4,4,0,4,Constant,0,PConc,4,99,3,4 AND 3,1,4 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,4,1 Kitchen AND 4,8 Rooms,1,3,Attchd,0,14,0,3,3,3 AND 3,1,277,2.442479769,0,0,1,1,1,3,2,1,1,WD,3100,3.491361694
446,20,RL,73,9855,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1436,1436,GasA,Fa,Y,SBrkr,1689,0,0,1689,0,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1956,Unf,2,480,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,11,2009,COD,Normal,127500,1.86332286,3.993656629,0,0,0,3.15715444,3.15715444,3.22762965,0,0,3.22762965,2.681241237,0,0,0,0,0,0,0,1,-0.06,0,0,1,Corner,1,Below Average,Edwards,1,1,0,1,1Story,1,5,6,5,6,5,53,More than 50 but less than 100 Years,6,6,More than 50 but less than 100 Years AND 6,53,0,More than 50 but less than 100 Years,6,More than 50 but less than 100 Years AND 6,Hip,CompShg,Wd Sdng,Wd Sdng,0,1,3,0,3,3,0,3,Constant,0,CBlock,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,2,GasA AND 2,SBrkr,1,1,0,0,1,0,0,1,0,1,1,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,4,Attchd,0,53,0,3,3,3 AND 3,1,0,0,1,1,1,1,1,5,0,0,1,COD,3125,3.494850022
447,20,RL,137,16492,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,713,557,1517,GasA,Ex,Y,SBrkr,1888,0,0,1888,0,0,2,1,2,1,Gd,6,Mod,1,Gd,Attchd,1966,Fin,2,578,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD,Normal,190000,2.136720567,4.217273326,0,2.392696953,2.85308953,2.745855195,3.180985581,3.27600199,0,0,3.27600199,2.761927838,0,0,0,0,0,0,0,1,0.61,0,0,0,Corner,1,Below Average,NAmes,0,2,1,1,1Story,1,5,6,6,6,6,44,More than 20 but less than 50,5,5,More than 20 but less than 50 AND 5,8,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,BrkFace,Plywood,1,1,4,0,4,3,0,3,Depreciated,8,CBlock,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,0,1,0,GasA,5,GasA AND 5,SBrkr,1,1,0,0,2,1,0,3,1,2,3,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,0,4,Attchd,0,44,0,3,3,3 AND 3,1,0,0,1,1,1,1,1,5,0,1,1,WD,3405,3.532117116
448,60,RL,0,11214,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,930,930,GasA,Gd,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,Gd,10,Typ,1,TA,Attchd,1998,Fin,2,431,TA,TA,Y,89,0,0,0,0,0,None,None,None,0,7,2006,WD,Normal,199900,0,4.049760552,0,0,0,2.968482949,2.968482949,2.980457892,2.968482949,0,3.275541688,2.63447727,1.949390007,0,0,0,0,0,0,1,0.08,0,0,0,Corner,1,Average,Gilbert,1,1,0,1,2Story,1,6,7,5,7,5,8,Less than 20 Years,1,1,Less than 20 Years AND 1,7,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,1,4,0,4,3,0,3,Depreciated,7,PConc,4,99,3,4 AND 3,1,4 AND 3 AND 1,0,1,0,1,GasA,4,GasA AND 4,SBrkr,0,1,0,0,2,1,0,3,1,2,3,1 Kitchen,4,1 Kitchen AND 4,10 or more,1,3,Attchd,0,8,0,3,3,3 AND 3,1,89,1.949390007,0,1,1,1,1,4,1,1,1,WD,2905,3.463146137
449,50,RM,50,8600,Pave,None,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,780,780,GasA,TA,Y,SBrkr,780,596,0,1376,0,0,2,0,3,1,TA,7,Typ,1,Gd,Detchd,1937,Unf,1,198,TA,TA,N,0,0,0,0,0,0,None,None,None,0,6,2006,WD,Normal,119500,1.698970004,3.934498451,0,0,0,2.892094603,2.892094603,2.892094603,2.77524626,0,3.138618434,2.29666519,0,0,0,0,0,0,0,0,-0.19,0,0,1,Inside,1,Below Average,IDOTRR,1,1,0,1,1.5Fin,1,3,6,6,6,6,69,More than 50 but less than 100 Years,7,7,More than 50 but less than 100 Years AND 7,56,1,More than 50 but less than 100 Years,6,More than 50 but less than 100 Years AND 6,Gable,CompShg,MetalSd,MetalSd,0,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,3,GasA AND 3,SBrkr,0,1,0,0,2,0,0,2,0,2,2,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,4,Detchd,0,69,0,3,3,3 AND 3,0,0,0,1,1,1,1,1,5,0,1,1,WD,2156,3.333648757
450,50,RM,50,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,0,318,649,GasA,Ex,Y,SBrkr,679,504,0,1183,0,0,1,1,2,1,TA,6,Typ,0,None,Detchd,1981,Unf,1,308,TA,TA,Y,0,176,0,0,0,0,None,None,None,0,6,2007,WD,Normal,120000,1.698970004,3.77815125,0,2.519827994,0,2.50242712,2.812244697,2.831869774,2.702430536,0,3.072984745,2.488550717,0,2.245512668,0,0,0,0,0,0,-0.45,0,0,1,Inside,1,Below Average,OldTown,1,1,0,1,1.5Fin,1,3,2,7,3,7,59,More than 50 but less than 100 Years,6,6,More than 50 but less than 100 Years AND 6,5,1,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,MetalSd,MetalSd,0,1,3,0,3,4,0,4,Improved,0,CBlock,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,0,0,1,1,0,2,1,1,2,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,0,Detchd,0,26,1,3,3,3 AND 3,1,176,2.245512668,1,0,1,1,1,4,1,1,1,WD,2008,3.302763708
451,30,RM,70,5684,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,813,813,GasA,Ex,Y,FuseA,813,0,0,813,0,0,1,0,2,1,Gd,5,Typ,0,None,Detchd,1932,Unf,1,270,Fa,Fa,N,0,113,0,0,0,0,None,None,None,0,6,2006,WD,Normal,110000,1.84509804,3.754654069,0,0,0,2.910090546,2.910090546,2.910090546,0,0,2.910090546,2.431363764,0,2.053078443,0,0,0,0,0,0,-0.48,0,0,1,Inside,1,Below Average,OldTown,1,1,0,1,1Story,1,5,6,8,6,8,76,More than 50 but less than 100 Years,8,8,More than 50 but less than 100 Years AND 8,1,1,Less than 20 Years,1,Less than 20 Years AND 1,Hip,CompShg,Wd Sdng,Wd Sdng,0,1,3,0,3,3,0,3,Constant,0,BrkTil,3,89,3,3 AND 3,1,3 AND 3 AND 1,0,1,0,1,GasA,5,GasA AND 5,Other,1,1,0,0,1,0,0,1,0,1,1,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,0,Detchd,0,74,1,2,2,2 AND 2,0,113,2.053078443,1,0,1,1,1,4,1,1,1,WD,1739,3.240299582
452,20,RL,62,70761,Pave,None,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,0,878,1533,GasA,TA,Y,SBrkr,1533,0,0,1533,1,0,2,0,2,1,Gd,5,Typ,2,TA,Attchd,1975,Unf,2,576,TA,TA,Y,200,54,0,0,0,0,None,None,None,0,12,2006,WD,Normal,280000,1.792391689,4.849793962,0,2.8162413,0,2.943494516,3.185542155,3.185542155,0,0,3.185542155,2.760422483,2.301029996,1.73239376,0,0,0,0,0,1,6.12,1,0,0,Inside,0,Above Average,ClearCr,1,1,0,1,1Story,1,5,7,5,7,5,31,More than 20 but less than 50,4,4,More than 20 but less than 50 AND 4,31,0,More than 20 but less than 50,4,More than 20 but less than 50 AND 4,Gable,Other,Plywood,Plywood,0,1,3,0,3,3,0,3,Constant,0,CBlock,4,99,3,4 AND 3,4,4 AND 3 AND 4,0,0,0,1,GasA,3,GasA AND 3,SBrkr,1,1,1,0,2,0,1,2,0,3,3,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,3,Attchd,0,31,0,3,3,3 AND 3,1,254,2.404833717,0,0,1,1,1,3,2,1,1,WD,3320,3.521138084
453,60,RL,0,9303,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,0,130,872,GasA,Ex,Y,SBrkr,888,868,0,1756,1,0,2,1,3,1,TA,7,Typ,0,None,Attchd,1996,Fin,2,422,TA,TA,Y,144,122,0,0,0,0,None,None,None,0,7,2007,WD,Normal,204000,0,3.968623021,1.62324929,2.870403905,0,2.113943352,2.940516485,2.948412966,2.938519725,0,3.244524512,2.625312451,2.158362492,2.086359831,0,0,0,0,0,1,-0.12,0,0,0,Corner,1,Above Average,Timber,1,1,0,1,2Story,1,6,6,5,6,5,11,Less than 20 Years,2,2,Less than 20 Years AND 2,10,1,Less than 20 Years,1,Less than 20 Years AND 1,Hip,CompShg,VinylSd,VinylSd,0,0,4,0,4,3,0,3,Depreciated,10,PConc,5,120,3,5 AND 3,1,5 AND 3 AND 1,0,0,0,1,GasA,5,GasA AND 5,SBrkr,0,1,1,0,2,1,1,3,1,3,4,1 Kitchen,3,1 Kitchen AND 3,Between 5 - 7,1,0,Attchd,0,11,0,3,3,3 AND 3,1,266,2.424881637,0,0,1,1,1,3,2,1,1,WD,2936,3.467756051
454,60,FV,75,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,768,768,GasA,Ex,Y,SBrkr,786,804,0,1590,0,0,2,1,3,1,Gd,6,Typ,0,None,Attchd,2008,RFn,2,676,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,6,2009,WD,Normal,210000,1.875061263,3.954242509,0,0,0,2.88536122,2.88536122,2.895422546,2.905256049,0,3.201397124,2.829946696,0,1.477121255,0,0,0,0,0,1,-0.15,0,0,1,Inside,1,Above Average,Somerst,1,1,0,1,2Story,1,6,8,5,8,5,1,Less than 20 Years,1,1,Less than 20 Years AND 1,1,0,Less than 20 Years,1,Less than 20 Years AND 1,Gable,CompShg,VinylSd,VinylSd,0,1,4,0,4,3,0,3,Depreciated,1,PConc,4,99,3,4 AND 3,1,4 AND 3 AND 1,0,1,0,1,GasA,5,GasA AND 5,SBrkr,0,1,0,0,2,1,0,3,1,2,3,1 Kitchen,4,1 Kitchen AND 4,Between 5 - 7,1,0,Attchd,0,1,0,3,3,3 AND 3,1,30,1.477121255,1,0,1,1,1,4,1,1,1,WD,2388,3.378034322
