Usage Date,Usage Amount
9/9/2021,10.05
9/10/2021,9.59
9/11/2021,9.92
9/12/2021,9.79
9/13/2021,10.42
9/14/2021,9.8
9/15/2021,9.87
9/16/2021,9.94
9/17/2021,9.75
9/18/2021,10.4
9/19/2021,10.36
9/20/2021,9.93
9/21/2021,10.31
9/22/2021,10.39
9/23/2021,9.87
9/24/2021,9.04
9/25/2021,9.54
9/26/2021,11.01
9/27/2021,10.94
9/28/2021,11.55
9/29/2021,10.82
9/30/2021,10.01
10/1/2021,7.82
10/2/2021,6.62
10/3/2021,9.4
10/4/2021,8.79
10/7/2021,24.97
10/8/2021,7.71
10/9/2021,6.77
10/10/2021,7.41
10/11/2021,7.77
10/12/2021,8.09
10/13/2021,7.51
10/14/2021,7.7
10/15/2021,6.75
10/16/2021,5.65
10/17/2021,7.15
10/18/2021,6.72
10/19/2021,7.95
10/20/2021,6.59
10/21/2021,8.04
10/22/2021,5.85
10/23/2021,6.72
10/24/2021,8.51
10/25/2021,8.45
10/26/2021,8.85
10/27/2021,10.86
10/28/2021,9.22
10/29/2021,9.97
10/30/2021,13.41
10/31/2021,13.32
11/1/2021,12.34
11/2/2021,14.32
11/3/2021,11.41
11/4/2021,10.73
11/5/2021,11.65
11/6/2021,9.6
11/7/2021,12.44
11/8/2021,12.49
11/9/2021,12.81
11/10/2021,12.73
11/11/2021,10.9
11/12/2021,13.25
11/13/2021,11.14
11/14/2021,14.02
11/15/2021,11.89
11/16/2021,9.58
11/17/2021,9.77
11/18/2021,11.22
11/19/2021,10.57
11/20/2021,14.36
11/21/2021,14.54
11/22/2021,11.65
11/23/2021,11.89
11/24/2021,12.4
11/25/2021,11.62
11/26/2021,13.82
11/27/2021,12.62
11/28/2021,13.72
11/29/2021,13.41
11/30/2021,13.18
12/1/2021,12.5
12/2/2021,12.12
12/3/2021,14.77
12/4/2021,12.1
12/5/2021,12.7
12/6/2021,12.67
12/7/2021,10.76
12/8/2021,14.26
12/9/2021,12.21
12/10/2021,12.63
12/11/2021,11.4
12/12/2021,11.84
12/13/2021,14.09
12/14/2021,12
12/15/2021,12.03
12/16/2021,12.23
12/17/2021,12.55
12/18/2021,13.82
12/19/2021,12.02
12/20/2021,12
12/21/2021,13.14
12/22/2021,11.11
12/23/2021,11.39
12/24/2021,11.5
12/25/2021,11.44
12/26/2021,12.49
12/27/2021,12.38
12/28/2021,12.43
12/29/2021,11.91
12/30/2021,13.04
12/31/2021,12.25
1/1/2022,12.39
1/2/2022,12.2
1/3/2022,13.71
1/4/2022,14.16
1/6/2022,26.04
1/7/2022,13.27
1/8/2022,10.89
1/9/2022,14.35
1/10/2022,12.21
1/11/2022,13.29
1/12/2022,12.52
1/13/2022,15.7
1/14/2022,12.29
1/15/2022,10.51
1/16/2022,14.64
1/17/2022,16.95
1/18/2022,13.67
1/19/2022,13.38
1/20/2022,13.83
1/21/2022,11.88
1/22/2022,12.98
1/23/2022,11.89
1/24/2022,12.14
1/25/2022,12.1
1/26/2022,12.42
1/27/2022,12.65
1/28/2022,12.79
1/29/2022,10.8
1/30/2022,11.03
2/1/2022,26.22
2/2/2022,12.42
2/3/2022,12.93
2/4/2022,11.5
2/5/2022,10.85
2/6/2022,10.53
2/7/2022,11.29
2/8/2022,11.55
2/9/2022,11.81
2/10/2022,11.41
2/11/2022,11.06
2/12/2022,11.48
2/13/2022,12.62
2/14/2022,12.43
2/15/2022,12.79
2/16/2022,12.34
2/17/2022,12.39
2/18/2022,11.52
2/19/2022,12.31
2/20/2022,11.72
2/21/2022,11.97
2/22/2022,13.79
2/23/2022,12.32
2/24/2022,12.45
2/25/2022,12.8
2/26/2022,12.17
2/27/2022,12.38
2/28/2022,12.64
3/1/2022,12.57
3/2/2022,13.1
3/3/2022,11.89
3/4/2022,9.19
3/5/2022,5.94
3/6/2022,5.91
3/7/2022,5.93
3/8/2022,5.89
3/9/2022,5.96
3/10/2022,5.91
3/11/2022,5.95
3/12/2022,5.83
3/13/2022,5.9
3/14/2022,5.85
3/15/2022,5.93
3/16/2022,5.83
3/17/2022,5.94
3/18/2022,5.94
3/19/2022,6.01
3/20/2022,5.9
3/21/2022,5.95
3/22/2022,6
3/23/2022,5.79
3/24/2022,5.96
3/25/2022,5.96
3/26/2022,5.89
3/27/2022,5.94
3/28/2022,5.82
3/29/2022,5.89
3/30/2022,5.82
3/31/2022,5.88
4/1/2022,5.94
4/2/2022,5.86
4/3/2022,8.1
4/4/2022,9.44
4/5/2022,8.59
4/6/2022,9.77
4/7/2022,8.8
4/8/2022,9.17
4/9/2022,11.86
4/10/2022,14.08
4/11/2022,12.21
4/12/2022,12.31
4/13/2022,14.15
4/14/2022,12.83
4/15/2022,12.15
4/16/2022,12.89
4/17/2022,12.94
4/18/2022,11.91
4/19/2022,11.63
4/20/2022,12.18
4/21/2022,11.56
4/22/2022,12.5
4/23/2022,12.45
4/24/2022,10.69
4/25/2022,14.27
4/26/2022,14.48
4/27/2022,13.32
4/28/2022,11.19
4/29/2022,12.52
4/30/2022,10.72
5/1/2022,11.98
5/2/2022,11.15
5/3/2022,13.37
5/4/2022,11.8
5/5/2022,12.8
5/9/2022,48.46
5/10/2022,10.59
5/11/2022,9.09
5/12/2022,11.03
5/13/2022,9.77
5/15/2022,22.94
5/16/2022,14.48
5/17/2022,13.31
5/18/2022,12.96
5/19/2022,11.6
5/20/2022,12.15
5/21/2022,10.85
5/22/2022,12.43
5/23/2022,10.89
5/24/2022,11.66
5/25/2022,11.92
5/26/2022,12.85
5/27/2022,12.58
5/28/2022,14.42
5/29/2022,12.04
5/30/2022,12.02
5/31/2022,13.46
6/1/2022,12.41
6/2/2022,13.97
6/3/2022,12.22
6/4/2022,10.53
6/5/2022,11.43
6/6/2022,13.2
6/7/2022,13.94
