country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Burkina Faso,116,19.2,6.74,29.6,1430,6.81,57.9,5.87,575
Burundi,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231
Cambodia,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786
Cameroon,108,22.2,5.13,27,2660,1.91,57.3,5.11,1310
Canada,5.6,29.1,11.3,31,40700,2.87,81.3,1.63,47400
Cape Verde,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310
Central African Republic,149,11.8,3.98,26.5,888,2.01,47.5,5.21,446
Chad,150,36.8,4.53,43.5,1930,6.39,56.5,6.59,897
Chile,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900
China,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560
Colombia,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250
Comoros,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769
"Congo, Dem. Rep.",116,41.1,7.91,49.6,609,20.8,57.5,6.54,334
"Congo, Rep.",63.9,85.1,2.46,54.7,5190,20.7,60.4,4.95,2740
Costa Rica,10.2,33.2,10.9,35,13000,6.57,80.4,1.92,8200
Cote d'Ivoire,111,50.6,5.3,43.3,2690,5.39,56.3,5.27,1220
Croatia,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500
Cyprus,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800
Czech Republic,3.4,66,7.88,62.9,28300,-1.43,77.5,1.51,19800
Denmark,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000
Dominican Republic,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450
Ecuador,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660
Egypt,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600
El Salvador,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990
Equatorial Guinea,111,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100
Eritrea,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482
Estonia,4.5,75.1,6.03,68.7,22700,1.74,76,1.72,14600
Fiji,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650
Finland,3,38.7,8.95,37.4,39800,0.351,80,1.87,46200
France,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600
Gabon,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750
Gambia,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562
Georgia,16.5,35,10.1,52.8,6730,8.55,72.8,1.92,2960
Germany,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800
Ghana,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310
Greece,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900
Grenada,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370
Guatemala,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830
Guinea,109,30.3,4.93,43.2,1190,16.1,58,5.34,648
Guinea-Bissau,114,14.9,8.5,35.2,1390,2.97,55.6,5.05,547
Guyana,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040
Haiti,208,15.3,6.91,64.7,1500,5.45,32.1,3.33,662
Hungary,6,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100
Iceland,2.6,53.4,9.4,43.3,38800,5.47,82,2.2,41900
India,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350
Indonesia,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110
Iran,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530
Iraq,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500
Ireland,4.2,103,9.19,86.5,45700,-3.22,80.4,2.05,48700
Israel,4.6,35,7.63,32.9,29600,1.77,81.4,3.03,30600
Italy,4,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800
Jamaica,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680
Japan,3.2,15,9.49,13.6,35800,-1.9,82.8,1.39,44500
Jordan,21.1,48.3,8.04,69,9470,8.43,75.8,3.66,3680
Kazakhstan,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070
Kenya,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967
Kiribati,62.7,13.3,11.3,79.9,1730,1.52,60.7,3.84,1490
Kuwait,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790,10,68.5,3.1,880
Lao,78.9,35.4,4.47,49.3,3980,9.2,63.8,3.15,1140
Latvia,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300
Lebanon,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860
Lesotho,99.7,39.4,11.1,101,2380,4.15,46.5,3.3,1170
Liberia,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327
Libya,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100
Lithuania,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000
Luxembourg,2.8,175,7.77,142,91700,3.62,81.3,1.63,105000
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400,2.04,74,1.47,4540
Madagascar,62.2,25,3.77,43,1390,8.79,60.8,4.6,413
Malawi,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459
Malaysia,7.9,86.9,4.39,71,21100,7.27,74.5,2.15,9070
Maldives,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100
Mali,137,22.8,4.98,35.1,1870,4.37,59.5,6.55,708
Malta,6.8,153,8.65,154,28300,3.83,80.3,1.36,21100
Mauritania,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200
Mauritius,15,51.2,6,62.2,15900,1.13,73.4,1.57,8000
"Micronesia, Fed. Sts.",40,23.5,14.2,81,3340,3.8,65.4,3.46,2860
Moldova,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630
Mongolia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650
Montenegro,6.8,37,9.11,62.7,14000,1.6,76.4,1.77,6680
Morocco,33.5,32.2,5.2,43,6440,0.976,73.5,2.58,2830
Mozambique,101,31.5,5.21,46.2,918,7.64,54.5,5.56,419
Myanmar,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988
Namibia,56,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190
Nepal,47,9.58,5.25,36.4,1990,15.1,68.3,2.61,592
Netherlands,4.5,72,11.9,63.6,45500,0.848,80.7,1.79,50300
New Zealand,6.2,30.3,10.1,28,32300,3.73,80.9,2.17,33700
Niger,123,22.2,5.16,49.1,814,2.55,58.8,7.49,348
Nigeria,130,25.3,5.07,17.4,5150,104,60.5,5.84,2330
Norway,3.2,39.7,9.48,28.5,62300,5.95,81,1.95,87800
Oman,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300
Pakistan,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040
Panama,19.7,70,8.1,78.2,15400,2.59,77.8,2.62,8080
Paraguay,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230
Peru,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020
Philippines,31.9,34.8,3.61,36.6,5600,4.22,69,3.16,2130
Poland,6,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600
Portugal,3.9,29.9,11,37.4,27200,0.643,79.8,1.39,22500
Qatar,9,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300
Romania,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230
Russia,10,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700
Rwanda,63.6,12,10.5,30,1350,2.61,64.6,4.51,563
Samoa,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450
Saudi Arabia,15.7,49.6,4.29,33,45400,17.2,75.1,2.96,19300
Senegal,66.8,24.9,5.66,40.3,2180,1.85,64,5.06,1000
Serbia,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410
Seychelles,14.4,93.8,3.4,108,20400,-4.21,73.4,2.17,10800
Sierra Leone,160,16.8,13.1,34.5,1220,17.2,55,5.2,399
Singapore,2.8,200,3.96,174,72100,-0.046,82.7,1.15,46600
Slovak Republic,7,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600
Slovenia,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400
Solomon Islands,28.1,49.3,8.55,81.2,1780,6.81,61.7,4.24,1290
South Africa,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280
South Korea,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100
Spain,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700
Sri Lanka,11.2,19.6,2.94,26.8,8560,22.8,74.4,2.2,2810
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920,4.44,71.6,2.07,6230
Sudan,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480
Suriname,24.1,52.5,7.01,38.4,14200,7.2,70.3,2.52,8300
Sweden,3,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100
Switzerland,4.5,64,11.5,53.3,55500,0.317,82.2,1.52,74600
Tajikistan,52.4,14.9,5.98,58.6,2110,12.5,69.6,3.51,738
Tanzania,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702
Thailand,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080
Timor-Leste,62.6,2.2,9.12,27.8,1850,26.5,71.1,6.23,3600
Togo,90.3,40.2,7.65,57.3,1210,1.18,58.7,4.87,488
Tonga,17.4,12.4,5.07,60.3,4980,3.68,69.9,3.91,3550
Tunisia,17.4,50.5,6.21,55.3,10400,3.82,76.9,2.14,4140
Turkey,19.1,20.4,6.74,25.5,18000,7.01,78.2,2.15,10700
Turkmenistan,62,76.3,2.5,44.5,9940,2.31,67.9,2.83,4440
Uganda,81,17.1,9.01,28.6,1540,10.6,56.8,6.15,595
Ukraine,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970
United Arab Emirates,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000
United Kingdom,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900
United States,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400
Uruguay,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900
Uzbekistan,36.3,31.7,5.81,28.5,4240,16.5,68.8,2.34,1380
Vanuatu,29.2,46.6,5.25,52.7,2950,2.62,63,3.5,2970
Venezuela,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500
Vietnam,23.3,72,6.84,80.2,4490,12.1,73.1,1.95,1310
Yemen,56.3,30,5.18,34.4,4480,23.6,67.5,4.67,1310
Zambia,83.1,37,5.89,30.9,3280,14,52,5.4,1460
